기준일,검체채취 가능여부,시도,시군구,의료기관명,주소,평일 운영시간,토요일 운영시간,일요일/공휴일 운영시간,대표 전화번호, 주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호
2021년 01월 13일 12시,○,서울,강남구,강남구보건소,서울 강남구 삼성동(삼성2동) 8 강남구보건소,09:00 ~ 21:00,09:00 ~ 19:00,09:00 ~ 19:00,02-3423-5555, 서울 강남구 삼성동(삼성2동) 8 강남구보건소,127.042085,37.51636,정좌표,공개용버전 미지원,구주소,미지원,미지원,6088
2021년 01월 13일 12시,○,서울,강남구,삼성서울병원,서울 강남구 일원로81 삼성서울병원,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,02-3410-0543, 서울 강남구 일원로81 삼성서울병원,127.08697,37.488611,정좌표,공개용버전 미지원,새주소,미지원,미지원,6351
2021년 01월 13일 12시,○,서울,강남구,강남세브란스병원,서울 강남구 언주로211 강남세브란스병원,09:00 ~ 17:00,09:00 ~ 12:30,미운영,02-1599-6114, 서울 강남구 언주로211 강남세브란스병원,127.046315,37.492435,정좌표,공개용버전 미지원,새주소,미지원,미지원,6273
2021년 01월 13일 12시,○,서울,강동구,강동구보건소,서울 강동구 성내동 541-2,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-3425-6713, 서울 강동구 성내동 541-2,127.125554,37.529235,정좌표,공개용버전 미지원,구주소,미지원,미지원,5397
2021년 01월 13일 12시,○,서울,강동구,중앙보훈병원,서울 강동구 진황도로 61길 53,09:00 ~ 17:30,미운영,미운영,02-2225-1114, 서울 강동구 진황도로 61길 53,127.147844,37.529091,정좌표,공개용버전 미지원,새주소,미지원,미지원,5368
2021년 01월 13일 12시,○,서울,강동구,강동경희대병원,서울시 강동구 동남로 892,09:00 ~ 17:00,09:00 ~ 12:00,미운영,02-440-7000, 서울시 강동구 동남로 892,127.15735,37.553037,정좌표,공개용버전 미지원,새주소,미지원,미지원,5278
2021년 01월 13일 12시,○,서울,강동구,강동성심병원,서울시 강동구 성안로 150,08:30 ~ 16:30,08:30 ~ 11:30,미운영,1588-4100, 서울시 강동구 성안로 150,127.13533,37.535974,정좌표,공개용버전 미지원,새주소,미지원,미지원,5355
2021년 01월 13일 12시,○,서울,강북구,강북구보건소,서울 강북구 번제2동 232 강북보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-901-7704.7706, 서울 강북구 번제2동 232 강북보건소,127.025558,37.639748,시군구 좌표,공개용버전 미지원,판별불가,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,강서구,강서구보건소,서울 강서구 염창동 275-12 강서보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2600-5465, 서울 강서구 염창동 275-12 강서보건소,126.868329,37.549639,정좌표,공개용버전 미지원,구주소,미지원,미지원,7560
2021년 01월 13일 12시,○,서울,강서구,이화여자대학교 서울병원,서울 강서구 공항대로 260,09:30 ~ 12:00,미운영,미운영,1522-7000, 서울 강서구 공항대로 260,126.836263,37.557265,정좌표,공개용버전 미지원,새주소,미지원,미지원,7804
2021년 01월 13일 12시,○,서울,관악구,관악구보건소,서울 관악구 청룡동 1570-1,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-879-7131, 서울 관악구 청룡동 1570-1,126.951512,37.478269,정좌표,공개용버전 미지원,구주소,미지원,미지원,8832
2021년 01월 13일 12시,○,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로 1636,08:30 ~ 17:00,08:30 ~ 12:30,미운영,1877-8875, 서울특별시 관악구 남부순환로 1636,126.932569,37.484137,정좌표,공개용버전 미지원,새주소,미지원,미지원,8779
2021년 01월 13일 12시,○,서울,광진구,광진구보건소,서울특별시 광진구 자양로 117 (자양동),09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-450-1937, 서울특별시 광진구 자양로 117 (자양동),127.082768,37.538137,정좌표,공개용버전 미지원,새주소,미지원,미지원,5026
2021년 01월 13일 12시,○,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,09:00 ~ 18:00,09:00 ~ 12:30,미운영,02-1588-1533, 서울특별시 광진구 능동로 120-1,127.071966,37.540584,정좌표,공개용버전 미지원,새주소,미지원,미지원,5030
2021년 01월 13일 12시,○,서울,구로구,구로구보건소,"서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터, 구로구보건소",09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-860-2012," 서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터, 구로구보건소",126.889321,37.500119,정좌표,공개용버전 미지원,구주소,미지원,미지원,8299
2021년 01월 13일 12시,○,서울,구로구,고대구로병원,구로동로 148,09:00 ~ 17:30,미운영,미운영,02-2626-1554, 구로동로 148,126.887781,37.495653,(도로명 없음)시구군 좌표,공개용버전 미지원,구주소,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,금천구,금천구보건소,서울 금천구 시흥제1동 1020 금천구보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2627-2717, 서울 금천구 시흥제1동 1020 금천구보건소,126.895667,37.456982,시군구 좌표,공개용버전 미지원,판별불가,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,02-2219-7231, 서울특별시 금천구 시흥대로 244,126.90058,37.455686,정좌표,공개용버전 미지원,새주소,미지원,미지원,8626
2021년 01월 13일 12시,○,서울,노원구,노원구보건소,"서울 노원구 상계6.7동 노원구보건소, 701-1",09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2116-3000," 서울 노원구 상계6.7동 노원구보건소, 701-1",127.066929,37.654922,행정동 좌표,공개용버전 미지원,판별불가,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,노원구,노원을지대학교병원,서울 노원구 한글비석로 68,09:00 ~ 17:00,미운영,미운영,02-970-8000, 서울 노원구 한글비석로 68,127.069948,37.636439,정좌표,공개용버전 미지원,새주소,미지원,미지원,1830
2021년 01월 13일 12시,○,서울,노원구,상계백병원,서울 노원구 동일로 1342,09:00 ~ 16:00,미운영,미운영,02-950-1114, 서울 노원구 동일로 1342,127.063122,37.648585,정좌표,공개용버전 미지원,새주소,미지원,미지원,1757
2021년 01월 13일 12시,○,서울,도봉구,도봉구보건소,서울 도봉구 쌍문동 565,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2091-4434, 서울 도봉구 쌍문동 565,127.038808,37.657886,정좌표,공개용버전 미지원,구주소,미지원,미지원,1395
2021년 01월 13일 12시,○,서울,도봉구,한일병원,서울시 도봉구 우이천로 308(쌍문동),9:00 ~ 17:30,미운영,미운영,02-901-3114, 서울시 도봉구 우이천로 308(쌍문동),127.028582,37.645936,정좌표,공개용버전 미지원,새주소,미지원,미지원,1450
2021년 01월 13일 12시,○,서울,동대문구,동대문구보건소,서울 동대문구 용두동 39-9,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2127-4283, 서울 동대문구 용두동 39-9,127.039815,37.574369,정좌표,공개용버전 미지원,구주소,미지원,미지원,2565
2021년 01월 13일 12시,○,서울,동대문구,삼육서울병원,서울 동대문구 망우로 82,09:00 ~ 16:30,미운영,09:00 ~ 16:30,1577-3675, 서울 동대문구 망우로 82,127.064231,37.588116,정좌표,공개용버전 미지원,새주소,미지원,미지원,2500
2021년 01월 13일 12시,○,서울,동대문구,서울특별시동부병원,서울 동대문구 무학로 124,09:00 ~ 22:00,09:00 ~ 18:00,09:00 ~ 18:00,920-9435/9119, 서울 동대문구 무학로 124,127.031515,37.575364,정좌표,공개용버전 미지원,새주소,미지원,미지원,2584
2021년 01월 13일 12시,○,서울,동대문구,서울성심병원,서울 동대문구 왕산로 259,09:00 ~ 16:00,미운영,미운영,966-1616, 서울 동대문구 왕산로 259,127.049822,37.58419,정좌표,공개용버전 미지원,새주소,미지원,미지원,2488
2021년 01월 13일 12시,○,서울,동대문구,경희의료원,서울 동대문구 경희대로 23,08:30 ~ 17:00,08:30 ~ 12:00,미운영,958-8114, 서울 동대문구 경희대로 23,127.0522,37.594841,정좌표,공개용버전 미지원,새주소,미지원,미지원,2447
2021년 01월 13일 12시,○,서울,동작구,동작구보건소,서울 동작구 상도2동 176-3,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-820-9465, 서울 동작구 상도2동 176-3,126.941091,37.504424,정좌표,공개용버전 미지원,구주소,미지원,미지원,6963
2021년 01월 13일 12시,○,서울,동작구,서울특별시 보라매병원,동작구 보라매로5길 20,09:00 ~ 17:30,09:00 ~ 12:30,09:00 ~ 12:30,02-870-2114, 동작구 보라매로5길 20,126.924354,37.493271,정좌표,공개용버전 미지원,새주소,미지원,미지원,7061
2021년 01월 13일 12시,○,서울,동작구,서울특별시 중앙대학교 병원,서울특별시 동작구 흑석로 102,08:30 ~ 17:00,08:30 ~ 12:00,미운영,1800-1114, 서울특별시 동작구 흑석로 102,126.960566,37.506966,정좌표,공개용버전 미지원,새주소,미지원,미지원,6973
2021년 01월 13일 12시,○,서울,마포구,마포구보건소,서울 마포구 성산동 370,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-3153-9037, 서울 마포구 성산동 370,126.900944,37.565859,정좌표,공개용버전 미지원,구주소,미지원,미지원,3937
2021년 01월 13일 12시,○,서울,서대문구,서대문구보건소,서울 서대문구 연희동  연희로242 (연희동 165-2),09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-330-1806, 서울 서대문구 연희동  연희로242 (연희동 165-2),126.936283,37.578626,정좌표,공개용버전 미지원,새주소,미지원,미지원,3718
2021년 01월 13일 12시,○,서울,중구,서울중구보건소,서울 중구 신당동 50-5 중구보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-3396-5181, 서울 중구 신당동 50-5 중구보건소,127.017925,37.562781,인근좌표,공개용버전 미지원,구주소,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,중구,인제대학교서울백병원,서울 중구 마른내로 9 백병원,00:00 ~ 00:00,00:00 ~ 00:00,00:00 ~ 00:00,02-2270-0114, 서울 중구 마른내로 9 백병원,126.988829,37.564905,정좌표,공개용버전 미지원,새주소,미지원,미지원,4551
2021년 01월 13일 12시,○,서울,서초구,서초구보건소,서울 서초구 서초동(서초2동) 1376-3 서초구청 보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2155-8093, 서울 서초구 서초동(서초2동) 1376-3 서초구청 보건소,127.032825,37.483576,정좌표,공개용버전 미지원,구주소,미지원,미지원,6750
2021년 01월 13일 12시,○,서울,서초구,서울특별시 어린이병원,서울특별시 서초구 헌릉로 260,10:00 ~ 15:00,미운영,미운영,02-570-8000, 서울특별시 서초구 헌릉로 260,127.069218,37.455728,정좌표,공개용버전 미지원,새주소,미지원,미지원,6801
2021년 01월 13일 12시,○,서울,성동구,성동구보건소,서울 성동구 홍익동 (왕십리도선동) 16-15 성동구보건소,09:00 ~ 21:00,09:0 ~ 18:00,09:00 ~ 18:00,02-2286-7172, 서울 성동구 홍익동 (왕십리도선동) 16-15 성동구보건소,127.033229,37.567079,정좌표,공개용버전 미지원,구주소,미지원,미지원,4706
2021년 01월 13일 12시,○,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),09:00 ~ 17:00,09:00 ~ 12:00,미운영,02-2290-8114, 서울특별시 성동구 왕십리로 222-1 (사근동),127.043796,37.558678,정좌표,공개용버전 미지원,새주소,미지원,미지원,4763
2021년 01월 13일 12시,○,서울,성동구,성동군자의원,서울특별시 성동구 광나루로 323 송정빌딩 2층,09:00 ~ 18:00,미운영,미운영,02-499-7785, 서울특별시 성동구 광나루로 323 송정빌딩 2층,127.066108,37.548458,정좌표,공개용버전 미지원,새주소,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,성북구,성북구보건소,서울 성북구 월곡제2동 46-1 성북구보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2241-5912, 서울 성북구 월곡제2동 46-1 성북구보건소,127.016828,37.589443,시군구 좌표,공개용버전 미지원,판별불가,미지원,미지원,NULL
2021년 01월 13일 12시,○,서울,송파구,송파구보건소,"서울 송파구 신천동 29-5 송파구청, 보건소",09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2147-3479," 서울 송파구 신천동 29-5 송파구청, 보건소",127.105952,37.514572,정좌표,공개용버전 미지원,구주소,미지원,미지원,5552
