code,시군구,선별진료소 수,총인구,남자,여자
31370,가평군,2,59823,30360,29463
11230,강남구,3,509199,244403,264796
11250,강동구,4,415287,204807,210480
32030,강릉시,2,216357,108707,107650
11090,강북구,1,303871,147112,156759
11160,강서구,2,128809,68244,60565
21120,강서구,1,128809,68244,60565
36390,강진군,2,32805,15757,17048
23310,강화군,1,65235,32781,32454
38090,거제시,4,251226,135173,116053
38390,거창군,2,59888,29499,30389
37100,경산시,3,290088,146429,143659
37020,경주시,2,264314,134636,129678
34070,계룡시,1,41153,20531,20622
23070,계양구,3,298912,148434,150478
37370,고령군,2,32191,16961,15230
32400,고성군,1,50887,25867,25020
38340,고성군,1,50887,25867,25020
31101,덕양구,2,448571,221937,226634
31103,일산동구,4,287041,139807,147234
31104,일산서구,2,289033,140197,148836
35370,고창군,2,53260,26405,26855
36350,고흥군,3,60332,29496,30836
36320,곡성군,2,27858,13690,14168
34020,공주시,2,109877,54485,55392
31110,과천시,1,53830,26584,27246
11210,관악구,2,507828,254082,253746
31060,광명시,2,313462,154896,158566
24050,광산구,3,423310,214479,208831
36060,광양시,2,143656,74523,69133
31250,광주시,3,375238,194288,180950
11050,광진구,2,359766,174027,185739
33360,괴산군,2,38808,20265,18543
36330,구례군,2,23836,11471,12365
11170,구로구,3,435560,217373,218187
31120,구리시,2,192270,95221,97049
37050,구미시,4,420319,217387,202932
35020,군산시,3,270635,138144,132491
37310,군위군,1,22206,11434,10772
31160,군포시,3,275154,136614,138540
34310,금산군,1,54442,27198,27244
21110,금정구,2,244726,119368,125358
11180,금천구,2,249747,127242,122505
21310,기장군,3,160732,79609,81123
35060,김제시,1,80422,40068,40354
37030,김천시,3,139902,70085,69817
31230,김포시,4,442910,229269,213641
38070,김해시,4,549331,282374,266957
36040,나주시,2,112101,55881,56220
21070,남구,2,233172,121579,111593
22040,남구,4,233172,121579,111593
24030,남구,2,233172,121579,111593
26020,남구,4,233172,121579,111593
23050,남동구,6,533119,267291,265828
31130,남양주시,5,681077,339886,341191
35050,남원시,2,77690,38019,39671
38350,남해군,2,42169,20688,21481
11110,노원구,3,522480,252662,269818
34060,논산시,2,122111,61167,60944
33380,단양군,2,28095,14146,13949
22070,달서구,6,574390,285722,288668
22310,달성군,1,258474,132291,126183
36310,담양군,2,43804,21950,21854
34080,당진시,2,169171,90358,78813
25050,대덕구,3,179107,90825,88282
11100,도봉구,2,323543,156961,166582
21030,동구,3,162104,86075,76029
22020,동구,2,162104,86075,76029
23020,동구,3,162104,86075,76029
24010,동구,3,162104,86075,76029
25010,동구,2,162104,86075,76029
26030,동구,2,162104,86075,76029
11060,동대문구,5,355094,174161,180933
31080,동두천시,1,96541,48387,48154
21060,동래구,4,260986,126910,134076
11200,동작구,3,400368,194049,206319
32040,동해시,3,86780,44086,42694
11140,마포구,1,369327,173893,195434
36010,목포시,7,228876,114854,114022
36420,무안군,2,81789,41571,40218
35330,무주군,1,22852,11323,11529
37090,문경시,3,68542,33614,34928
23030,미추홀구,2,411612,207840,203772
38080,밀양시,2,103402,50463,52939
34030,보령시,2,99320,51427,47893
36360,보성군,3,38339,18442,19897
33320,보은군,2,32001,16139,15862
37410,봉화군,2,30308,15056,15252
21050,부산진구,1,352390,169565,182825
35380,부안군,2,49733,24795,24938
34330,부여군,3,65337,32446,32891
31053,부천시오정구,4,836751,415264,421487
31052,부천시소사구,4,836751,415264,421487
31051,부천시,4,836751,415264,421487
23060,부평구,4,514385,254711,259674
21080,북구,3,268892,133295,135597
22050,북구,2,268892,133295,135597
24040,북구,2,268892,133295,135597
26040,북구,2,268892,133295,135597
21150,사상구,3,222618,111847,110771
38060,사천시,3,111110,57277,53833
21100,사하구,1,319828,159399,160429
38370,산청군,1,33579,16247,17332
32070,삼척시,2,67210,34827,32383
37080,상주시,3,96641,47669,48972
21020,서구,1,480920,236242,244678
22030,서구,2,480920,236242,244678
23080,서구,6,480920,236242,244678
24020,서구,1,480920,236242,244678
25030,서구,3,480920,236242,244678
39020,서귀포시,5,177360,90437,86923
11130,서대문구,1,319394,149113,170281
34050,서산시,2,175204,91088,84116
34340,서천군,2,51826,26010,25816
11220,서초구,2,404960,194195,210765
31023,분당구,3,462634,224721,237913
31021,수정구,3,241256,121729,119527
31022,중원구,2,216005,108919,107086
11040,성동구,3,299688,146630,153058
11080,성북구,1,445327,213832,231495
37380,성주군,1,41314,21570,19744
29010,세종시,2,338136,170148,167988
32060,속초시,3,78643,39015,39628
11240,송파구,1,648600,313725,334875
22060,수성구,1,415283,202137,213146
21140,수영구,3,170414,80762,89652
31012,권선구,1,374770,189282,185488
31014,영통구,2,368876,186064,182812
31011,장안구,2,282288,143174,139114
31013,팔달구,3,189052,95973,93079
35360,순창군,1,26642,12782,13860
36030,순천시,4,270202,134542,135660
31150,시흥시,5,508749,269625,239124
36480,신안군,1,35432,18838,16594
34040,아산시,3,347032,182818,164214
37040,안동시,4,160344,79503,80841
31092,단원구,3,358030,188840,169190
31091,상록구,2,356620,181899,174721
31220,안성시,3,202284,105953,96331
31042,동안구,2,311139,152839,158300
31041,만안구,2,246200,122820,123380
32380,양구군,2,21780,11569,10211
38100,양산시,1,347221,175280,171941
32410,양양군,1,26280,13332,12948
31260,양주시,1,224684,115541,109143
11150,양천구,4,440354,216078,224276
31380,양평군,2,111836,56004,55832
36020,여수시,5,270283,139231,131052
31280,여주시,2,111981,57249,54732
23040,연수구,3,374413,186902,187511
21130,연제구,11,203959,98035,105924
31350,연천군,1,42540,22578,19962
36440,영광군,3,50004,25007,24997
37350,영덕군,2,35672,17342,18330
21040,영도구,3,117959,59370,58589
33340,영동군,2,48004,24076,23928
11190,영등포구,5,394083,196903,197180
36410,영암군,1,57476,30908,26568
37340,영양군,1,16146,7832,8314
32330,영월군,2,36332,18696,17636
37060,영주시,2,105235,52678,52557
37070,영천시,2,100487,51762,48725
34370,예산군,2,78963,40300,38663
37400,예천군,2,53020,25971,27049
31140,오산시,2,233998,120893,113105
33330,옥천군,2,49117,24706,24411
23320,옹진군,0,19040,10926,8114
36460,완도군,2,48366,25336,23030
35310,완주군,1,96212,49610,46602
11030,용산구,2,227181,110934,116247
31192,기흥구,3,434075,214565,219510
31193,수지구,1,351807,172027,179780
31191,처인구,3,266647,138547,128100
37430,울릉군,1,8704,4848,3856
26310,울주군,3,226501,119005,107496
37420,울진군,1,47651,24745,22906
32020,원주시,3,349319,174245,175074
25040,유성구,2,366544,189078,177466
11120,은평구,5,461530,222076,239454
33370,음성군,2,104823,58027,46796
38310,의령군,2,26040,12736,13304
37320,의성군,1,49477,24114,25363
31170,의왕시,2,155826,77677,78149
31030,의정부시,5,440357,216737,223620
31210,이천시,2,222995,115769,107226
35030,익산시,3,290119,145682,144437
32390,인제군,1,30133,16333,13800
35350,임실군,1,26144,13099,13045
36450,장성군,2,42193,21369,20824
35340,장수군,1,21267,10544,10723
36380,장흥군,2,35494,17250,18244
35012,덕진구,3,320963,160479,160484
35011,완산구,3,341123,166781,174342
32350,정선군,2,35255,18390,16865
35040,정읍시,2,107348,53527,53821
39010,제주시,8,487688,246161,241527
33030,제천시,3,136093,68500,67593
11010,종로구,3,154969,74880,80089
11020,중구,8,219428,111433,107995
21010,중구,1,219428,111433,107995
22010,중구,2,219428,111433,107995
23010,중구,4,219428,111433,107995
25020,중구,4,219428,111433,107995
26010,중구,2,219428,111433,107995
11070,중랑구,2,386331,190531,195800
33390,증평군,1,37493,19247,18246
36470,진도군,2,29295,15134,14161
35320,진안군,2,23013,11446,11567
38030,진주시,8,354166,176860,177306
33350,진천군,2,87525,47307,40218
38330,창녕군,2,62370,31701,30669
