"산업별",2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05
"A 농업, 임업 및 어업",1356,1361,1389,1397,1400,1399,1399,1449,1563,1529,1533,1425,1406
"B 광업",14,14,14,13,15,15,15,14,14,14,16,15,13
"C 제조업",4431,4418,4390,4449,4413,4426,4447,4442,4434,4454,4422,4397,4374
"D 전기, 가스, 증기 및 수도사업",66,69,69,72,70,69,65,69,74,77,72,65,72
"E 하수·폐기물 처리, 원료재생 및 환경복원",135,135,135,139,135,140,142,147,144,143,146,149,149
"F 건설업",2016,2030,2027,2052,2005,2010,2001,2017,2029,2018,2008,1940,1957
"G 도매 및 소매업",3730,3693,3643,3647,3645,3637,3627,3605,3591,3560,3535,3549,3540
"H 운수업",1420,1440,1429,1427,1435,1444,1469,1478,1495,1507,1476,1450,1471
"I 숙박 및 음식점업",2320,2321,2335,2311,2294,2314,2311,2335,2326,2285,2178,2089,2136
"J 출판, 영상, 방송통신 및 정보서비스업",854,869,858,847,847,859,856,853,849,849,846,852,864
"K 금융 및 보험업",801,800,793,795,799,792,798,792,779,796,785,793,790
"L 부동산업 및 임대업",552,566,565,570,574,577,569,559,553,548,532,525,520
"M 전문, 과학 및 기술 서비스업",1139,1140,1144,1161,1187,1182,1186,1175,1185,1185,1132,1144,1151
"N 사업시설관리 및 사업지원 서비스업",1304,1301,1292,1325,1325,1334,1322,1343,1353,1343,1326,1309,1287
"O 공공행정, 국방 및 사회보장 행정",1079,1061,1059,1061,1058,1070,1081,1077,1069,1129,1039,1053,1052
"P 교육 서비스업",1878,1900,1901,1880,1915,1869,1879,1873,1872,1862,1780,1758,1809
"Q 보건업 및 사회복지 서비스업",2173,2190,2209,2234,2234,2242,2246,2274,2327,2385,2268,2254,2303
"R 예술, 스포츠 및 여가관련 서비스업",481,488,498,514,519,522,526,531,520,516,481,487,509
"S 협회 및 단체, 수리 및 기타 개인 서비스업",1248,1248,1228,1212,1206,1220,1225,1222,1230,1229,1204,1147,1163
"T 가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동",64,69,83,83,90,101,99,95,101,95,91,89,96
"U 국제 및 외국기관",12,13,14,9,11,14,14,14,15,17,17,18,20
