순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
1,005930,삼성전자,"45,800","50,000","4,200","9.17","424,101,937","20,785,194,256,247"
2,000660,SK하이닉스,"78,400","83,700","5,300","6.76","91,942,271","7,587,119,131,754"
3,006800,미래에셋대우,"4,895","5,610",715,"14.61","84,109,483","438,517,206,735"
4,015760,한국전력,"19,000","23,850","4,850","25.53","76,739,588","1,631,068,717,400"
5,008560,메리츠증권,"2,680","3,270",590,"22.01","67,677,256","194,635,630,165"
6,024110,기업은행,"7,160","7,900",740,"10.34","61,301,273","465,594,751,020"
7,316140,우리금융지주,"7,270","8,440","1,170","16.09","57,640,374","457,345,425,040"
8,105560,KB금융,"31,600","34,750","3,150","9.97","53,407,678","1,744,334,730,188"
9,086790,하나금융지주,"21,850","27,600","5,750","26.32","48,932,655","1,210,955,598,417"
10,055550,신한지주,"26,750","30,550","3,800","14.21","47,835,609","1,356,114,138,571"
11,034220,LG디스플레이,"10,600","11,050",450,"4.25","47,023,465","522,375,578,000"
12,032640,LG유플러스,"10,550","13,350","2,800","26.54","43,468,094","528,194,677,000"
13,068270,셀트리온,"198,000","210,500","12,500","6.31","42,070,443","8,693,250,817,000"
14,000270,기아차,"25,550","29,650","4,100","16.05","41,728,029","1,193,953,193,600"
15,005380,현대차,"85,400","93,600","8,200","9.6","41,304,577","3,862,312,506,250"
16,004990,롯데지주,"23,150","40,100","16,950","73.22","30,703,602","1,195,399,478,950"
17,138930,BNK금융지주,"4,355","5,050",695,"15.96","28,737,991","135,673,149,425"
18,047810,한국항공우주,"20,250","25,650","5,400","26.67","27,153,024","661,815,786,950"
19,035250,강원랜드,"18,450","25,050","6,600","35.77","25,119,726","574,986,681,942"
20,000720,현대건설,"25,800","35,050","9,250","35.85","24,928,071","792,597,897,650"
21,030200,KT,"19,350","23,850","4,500","23.26","24,545,581","538,512,701,200"
22,010950,S-Oil,"55,000","70,000","15,000","27.27","24,034,425","1,612,475,716,600"
23,009830,한화솔루션,"12,750","14,550","1,800","14.12","22,697,029","313,571,795,100"
24,018880,한온시스템,"8,510","9,130",620,"7.29","22,482,017","200,070,778,929"
25,004020,현대제철,"16,900","21,600","4,700","27.81","21,665,433","417,284,091,200"
