"거래구분별(1)","투자자별(1)",투자자별(2),2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05
"거래량","총거래량",매도 (천주),26969890,33249799,39635839,47668576,56251736,47250311
"거래량","총거래량",매수 (천주),26969890,33249799,39635839,47668576,56251736,47250311
"거래량","총거래량",순매수 (천주),0,0,0,0,0,0
"거래량","금융투자",매도 (천주),364542,479164,515438,699048,416149,345381
"거래량","금융투자",매수 (천주),429094,361875,446865,682741,368944,320493
"거래량","금융투자",순매수 (천주),64552,-117289,-68574,-16307,-47205,-24888
"거래량","보험",매도 (천주),46941,46019,47040,72822,49831,56376
"거래량","보험",매수 (천주),45492,46704,43878,65151,47465,69450
"거래량","보험",순매수 (천주),-1449,685,-3162,-7670,-2366,13074
"거래량","투자신탁",매도 (천주),156550,157606,137549,240523,148233,146335
"거래량","투자신탁",매수 (천주),127242,115113,114356,176437,120707,132205
"거래량","투자신탁",순매수 (천주),-29308,-42493,-23193,-64086,-27526,-14130
"거래량","사모펀드",매도 (천주),131836,163454,166827,181264,112049,131139
"거래량","사모펀드",매수 (천주),93990,114479,109181,121833,73770,79882
"거래량","사모펀드",순매수 (천주),-37846,-48975,-57646,-59431,-38279,-51256
"거래량","은행",매도 (천주),8748,7559,6596,14104,9122,7642
"거래량","은행",매수 (천주),5487,5588,5652,10985,7850,5692
"거래량","은행",순매수 (천주),-3261,-1972,-944,-3119,-1272,-1950
"거래량","기타금융",매도 (천주),23229,17454,16711,28477,11887,22726
"거래량","기타금융",매수 (천주),6586,4689,8313,23695,13525,14226
"거래량","기타금융",순매수 (천주),-16642,-12765,-8398,-4782,1637,-8500
"거래량","연기금 등",매도 (천주),200530,285328,339317,541020,366981,361834
"거래량","연기금 등",매수 (천주),215995,277514,317325,546385,398061,364632
"거래량","연기금 등",순매수 (천주),15466,-7815,-21991,5366,31080,2798
"거래량","기관합계",매도 (천주),932375,1156584,1229477,1777258,1114252,1071433
"거래량","기관합계",매수 (천주),923886,925961,1045570,1627229,1030321,986581
