종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
006800,미래에셋대우,"65,999,592","42,149,022","23,850,570","411,432,062,445","262,657,821,220","148,774,241,225",금융 지원 서비스업
005490,POSCO,"9,885,540","9,758,580","126,960","1,846,315,922,500","1,814,215,116,000","32,100,806,500",1차 철강 제조업
138040,메리츠금융지주,"3,100,386","876,718","2,223,668","29,407,800,050","8,396,130,830","21,011,669,220",기타 금융업
004690,삼천리,"309,399","34,073","275,326","22,218,265,000","2,382,539,900","19,835,725,100",연료용 가스 제조 및 배관공급업
001510,SK증권,"32,706,788","4,696,903","28,009,885","21,289,855,697","3,621,960,411","17,667,895,286",금융 지원 서비스업
005387,현대차2우B,"855,090","612,448","242,642","55,370,653,500","40,934,525,000","14,436,128,500",-
161390,한국타이어앤테크놀로지,"6,840,626","6,162,403","678,223","164,418,220,200","150,829,807,550","13,588,412,650",고무제품 제조업
003670,포스코케미칼,"4,720,742","4,542,526","178,216","288,350,100,750","276,658,859,450","11,691,241,300","내화, 비내화 요업제품 제조업"
003415,쌍용양회우,"753,020","1,420","751,600","11,519,820,850","22,737,050","11,497,083,800",-
001120,LG상사,"4,658,954","3,859,567","799,387","61,475,838,500","50,213,231,730","11,262,606,770",상품 중개업
003410,쌍용양회,"13,936,421","11,858,865","2,077,556","70,251,459,760","59,009,000,860","11,242,458,900","시멘트, 석회, 플라스터 및 그 제품 제조업"
115390,락앤락,"2,089,746","1,172,311","917,435","23,691,015,910","13,103,562,370","10,587,453,540",플라스틱제품 제조업
285130,SK케미칼,"1,041,948","1,055,566","-13,618","111,982,109,900","102,267,756,250","9,714,353,650",합성고무 및 플라스틱 물질 제조업
003300,한일홀딩스,"236,043","19,076","216,967","10,082,706,650","742,953,600","9,339,753,050","시멘트, 석회, 플라스터 및 그 제품 제조업"
101060,SBS미디어홀딩스,"5,917,678","831,357","5,086,321","10,900,323,495","1,759,615,425","9,140,708,070",텔레비전 방송업
122900,아이마켓코리아,"1,266,820","285,255","981,565","11,553,547,500","2,586,226,650","8,967,320,850",상품 종합 도매업
088980,맥쿼리인프라,"7,157,219","6,447,763","709,456","78,363,685,380","70,021,765,870","8,341,919,510",신탁업 및 집합투자업
034830,한국토지신탁,"7,423,559","2,484,063","4,939,496","12,801,546,730","4,492,355,070","8,309,191,660",신탁업 및 집합투자업
004490,세방전지,"691,968","399,090","292,878","19,857,972,000","11,971,888,350","7,886,083,650",일차전지 및 축전지 제조업
003570,S&T중공업,"1,560,229","114,779","1,445,450","8,161,523,335","622,880,875","7,538,642,460",자동차 신품 부품 제조업
010780,아이에스동서,"1,119,343","809,232","310,111","29,563,724,050","22,113,845,450","7,449,878,600","내화, 비내화 요업제품 제조업"
336260,두산퓨얼셀,"1,474,095","907,438","566,657","20,720,878,775","14,281,326,360","6,439,552,415","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
317400,자이에스앤디,"1,855,558","890,729","964,829","11,519,324,060","5,297,880,115","6,221,443,945",부동산 임대 및 공급업
027390,한화갤러리아타임월드,"252,606","452","252,154","5,820,941,750","10,420,750","5,810,521,000",종합 소매업
033660,아주캐피탈,"684,577","165,610","518,967","7,706,677,280","1,955,195,150","5,751,482,130",기타 금융업
001200,유진투자증권,"4,087,203","1,005,912","3,081,291","8,542,542,070","3,070,728,450","5,471,813,620",금융 지원 서비스업
118000,우리들휴브레인,"4,719,608","4,129,181","590,427","18,617,806,625","13,475,838,515","5,141,968,110",기계장비 및 관련 물품 도매업
084010,대한제강,"986,334","62,468","923,866","5,481,874,840","360,588,695","5,121,286,145",1차 철강 제조업
016800,퍼시스,"185,542","7,442","178,100","5,208,867,800","208,388,300","5,000,479,500",가구 제조업
053690,한미글로벌,"921,476","338,536","582,940","7,039,205,600","2,441,777,425","4,597,428,175","건축기술, 엔지니어링 및 관련 기술 서비스업"
095570,AJ네트웍스,"1,388,030","407,722","980,308","6,008,043,945","1,489,506,780","4,518,537,165",산업용 기계 및 장비 임대업
036530,S&T홀딩스,"366,507","22,557","343,950","4,624,831,100","311,989,700","4,312,841,400",기타 금융업
001720,신영증권,"110,369","17,480","92,889","4,942,907,750","829,283,150","4,113,624,600",금융 지원 서비스업
003230,삼양식품,"162,480","130,050","32,430","18,188,647,600","14,126,396,500","4,062,251,100",기타 식품 제조업
001725,신영증권우,"103,133","21,073","82,060","4,868,266,550","961,305,200","3,906,961,350",-
181710,NHN,"341,836","295,277","46,559","27,427,715,400","23,554,065,700","3,873,649,700",소프트웨어 개발 및 공급업
019680,대교,"2,741,512","1,807,041","934,471","12,588,353,005","8,811,838,835","3,776,514,170",초등 교육기관
100840,S&TC,"290,306","43,667","246,639","4,077,295,750","589,394,950","3,487,900,800",일반 목적용 기계 제조업
159650,하이골드8호,"1,594,279","78,454","1,515,825","3,067,058,060","162,451,945","2,904,606,115",운송장비 임대업
019685,대교우B,"1,237,796","140,300","1,097,496","3,324,348,065","420,174,155","2,904,173,910",-
036420,제이콘텐트리,"467,650","386,386","81,264","15,981,594,250","13,249,415,500","2,732,178,750","영화, 비디오물, 방송프로그램 제작 및 배급업"
010960,삼호개발,"973,769","262,197","711,572","3,843,598,455","1,114,759,100","2,728,839,355",기반조성 및 시설물 축조관련 전문공사업
011760,현대상사,"277,416","83,449","193,967","3,723,300,180","1,110,972,010","2,612,328,170",상품 종합 도매업
000700,유수홀딩스,"716,487","258,630","457,857","3,945,699,315","1,507,568,150","2,438,131,165",회사 본부 및 경영 컨설팅 서비스업
001630,종근당홀딩스,"371,366","348,945","22,421","42,868,867,900","40,465,800,600","2,403,067,300",의약품 제조업
001520,동양,"8,959,058","6,517,686","2,441,372","10,212,720,941","7,876,547,484","2,336,173,457","시멘트, 석회, 플라스터 및 그 제품 제조업"
005070,코스모신소재,"818,265","612,317","205,948","9,259,299,890","7,028,261,780","2,231,038,110",기타 화학제품 제조업
000390,삼화페인트,"552,966","69,850","483,116","2,447,915,600","330,472,220","2,117,443,380",기타 화학제품 제조업
010400,우진아이엔에스,"646,386","343,382","303,004","4,640,303,490","2,528,551,680","2,111,751,810",건물설비 설치 공사업
011785,금호석유우,"221,052","157,262","63,790","6,340,295,200","4,313,198,400","2,027,096,800",-
004910,조광페인트,"421,753","36,368","385,385","2,166,044,060","179,619,555","1,986,424,505",기타 화학제품 제조업
