종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
005930,삼성전자,"1,049,368,996","901,886,261","147,482,735","54,248,349,131,350","46,721,836,868,850","7,526,512,262,500",통신 및 방송 장비 제조업
005935,삼성전자우,"177,019,103","128,072,431","48,946,672","7,980,976,650,550","5,751,299,441,000","2,229,677,209,550",-
000660,SK하이닉스,"226,200,417","204,196,868","22,003,549","19,278,361,462,900","17,463,382,134,100","1,814,979,328,800",반도체 제조업
035420,NAVER,"44,894,586","39,366,494","5,528,092","10,301,958,964,500","8,938,239,120,000","1,363,719,844,500","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
015760,한국전력,"249,195,351","194,344,588","54,850,763","5,307,910,217,050","4,135,465,613,600","1,172,444,603,450",전기업
034730,SK,"42,893,268","38,503,265","4,390,003","10,854,465,763,000","9,717,488,737,500","1,136,977,025,500",기타 금융업
005380,현대차,"124,239,588","112,429,283","11,810,305","12,239,913,436,900","11,251,123,467,300","988,789,969,600",자동차용 엔진 및 자동차 제조업
055550,신한지주,"107,635,760","81,635,910","25,999,850","3,300,351,333,850","2,496,552,864,200","803,798,469,650",기타 금융업
035720,카카오,"83,935,015","82,010,185","1,924,830","19,583,160,298,500","18,876,356,889,500","706,803,409,000","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
326030,SK바이오팜,"36,019,088","32,683,943","3,335,145","7,526,066,315,000","6,865,994,006,000","660,072,309,000",자연과학 및 공학 연구개발업
096770,SK이노베이션,"66,428,833","59,965,565","6,463,268","7,180,689,189,200","6,534,472,807,600","646,216,381,600",석유 정제품 제조업
006400,삼성SDI,"52,662,564","50,705,369","1,957,195","16,008,822,153,000","15,457,759,800,500","551,062,352,500",일차전지 및 축전지 제조업
010950,S-Oil,"48,391,692","41,460,900","6,930,792","3,295,097,408,950","2,808,174,365,900","486,923,043,050",석유 정제품 제조업
017670,SK텔레콤,"14,418,599","12,059,106","2,359,493","2,995,593,554,500","2,518,222,548,500","477,371,006,000",전기 통신업
105560,KB금융,"109,909,289","95,351,515","14,557,774","3,775,778,701,850","3,300,090,821,500","475,687,880,350",기타 금융업
000270,기아차,"108,745,856","94,072,967","14,672,889","3,475,622,785,650","3,002,527,713,850","473,095,071,800",자동차용 엔진 및 자동차 제조업
008770,호텔신라,"62,010,701","55,604,490","6,406,211","4,984,143,064,800","4,521,673,646,500","462,469,418,300",기타 상품 전문 소매업
012330,현대모비스,"14,500,129","12,303,500","2,196,629","2,765,189,165,000","2,373,254,503,000","391,934,662,000",자동차 신품 부품 제조업
090430,아모레퍼시픽,"25,394,238","23,247,711","2,146,527","4,447,727,230,500","4,083,749,924,500","363,977,306,000",기타 화학제품 제조업
003490,대한항공,"172,885,560","154,925,979","17,959,581","3,420,858,547,750","3,069,621,982,750","351,236,565,000",항공 여객 운송업
032830,삼성생명,"39,548,314","32,215,827","7,332,487","1,876,259,234,300","1,526,456,906,400","349,802,327,900",보험업
010140,삼성중공업,"1,059,792,957","994,951,579","64,841,378","6,165,407,844,185","5,820,116,032,575","345,291,811,610",선박 및 보트 건조업
005490,POSCO,"19,609,362","17,683,986","1,925,376","3,568,544,880,500","3,241,553,078,000","326,991,802,500",1차 철강 제조업
024110,기업은행,"202,053,266","166,370,574","35,682,692","1,703,248,781,120","1,392,861,059,900","310,387,721,220",은행 및 저축기관
086790,하나금융지주,"98,766,890","86,917,790","11,849,100","2,596,518,859,100","2,311,046,692,800","285,472,166,300",기타 금융업
033780,KT&G,"23,141,705","19,541,461","3,600,244","1,890,528,784,400","1,607,128,036,100","283,400,748,300",담배 제조업
004170,신세계,"6,160,008","5,033,542","1,126,466","1,478,842,556,000","1,222,005,875,500","256,836,680,500",종합 소매업
035250,강원랜드,"59,421,925","49,483,862","9,938,063","1,395,182,638,250","1,168,113,322,850","227,069,315,400",유원지 및 기타 오락관련 서비스업
036570,엔씨소프트,"5,115,739","4,888,147","227,592","3,785,500,182,000","3,565,783,269,000","219,716,913,000",소프트웨어 개발 및 공급업
028050,삼성엔지니어링,"173,153,756","155,335,917","17,817,839","2,045,599,390,640","1,828,321,858,970","217,277,531,670","건축기술, 엔지니어링 및 관련 기술 서비스업"
030200,KT,"69,920,780","61,269,705","8,651,075","1,630,946,455,700","1,423,620,218,850","207,326,236,850",전기 통신업
034220,LG디스플레이,"222,990,788","206,982,101","16,008,687","2,712,569,051,020","2,513,528,343,700","199,040,707,320",전자부품 제조업
011170,롯데케미칼,"11,043,028","9,957,970","1,085,058","2,049,761,638,000","1,854,221,753,000","195,539,885,000",기초 화학물질 제조업
009540,한국조선해양,"24,757,082","22,547,754","2,209,328","2,246,162,603,200","2,054,068,719,600","192,093,883,600",선박 및 보트 건조업
078930,GS,"15,409,034","10,608,011","4,801,023","601,166,302,900","412,884,605,550","188,281,697,350",기타 금융업
