종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
005930,삼성전자,"375,687,905","276,459,231","99,228,674","18,418,109,379,500","13,459,399,795,550","4,958,709,583,950",통신 및 방송 장비 제조업
005380,현대차,"31,730,278","22,808,875","8,921,403","2,702,855,929,200","1,921,548,698,300","781,307,230,900",자동차용 엔진 및 자동차 제조업
005935,삼성전자우,"49,934,079","32,870,551","17,063,528","2,097,789,129,350","1,366,989,072,000","730,800,057,350",-
000660,SK하이닉스,"57,743,665","52,184,400","5,559,265","4,683,024,412,000","4,215,348,562,900","467,675,849,100",반도체 제조업
006400,삼성SDI,"13,169,478","11,381,389","1,788,089","3,272,979,500,500","2,816,688,705,500","456,290,795,000",일차전지 및 축전지 제조업
051910,LG화학,"8,283,894","7,053,993","1,229,901","2,579,420,946,500","2,190,958,932,500","388,462,014,000",기초 화학물질 제조업
096770,SK이노베이션,"15,821,646","12,479,052","3,342,594","1,320,846,148,400","1,044,481,199,000","276,364,949,400",석유 정제품 제조업
015760,한국전력,"57,735,608","46,646,726","11,088,882","1,145,116,940,500","919,573,426,500","225,543,514,000",전기업
035720,카카오,"12,661,478","11,412,859","1,248,619","1,957,982,079,500","1,755,727,192,000","202,254,887,500","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
055550,신한지주,"19,504,769","12,249,369","7,255,400","533,693,998,900","335,373,382,150","198,320,616,750",기타 금융업
009150,삼성전기,"19,077,798","17,475,538","1,602,260","2,030,331,722,100","1,855,820,692,500","174,511,029,600",전자부품 제조업
005490,POSCO,"4,001,756","2,984,089","1,017,667","654,188,538,500","482,450,920,500","171,737,618,000",1차 철강 제조업
000270,기아차,"20,722,201","14,576,145","6,146,056","547,459,214,450","380,093,551,150","167,365,663,300",자동차용 엔진 및 자동차 제조업
012330,현대모비스,"2,945,640","1,940,280","1,005,360","477,473,563,000","316,459,528,500","161,014,034,500",자동차 신품 부품 제조업
066570,LG전자,"11,352,890","8,710,731","2,642,159","580,680,306,650","443,290,615,450","137,389,691,200",통신 및 방송 장비 제조업
086790,하나금융지주,"20,324,849","14,758,964","5,565,885","456,790,871,700","330,981,528,900","125,809,342,800",기타 금융업
003490,대한항공,"39,636,235","32,940,739","6,695,496","707,995,362,050","594,946,722,550","113,048,639,500",항공 여객 운송업
032830,삼성생명,"7,732,433","5,211,439","2,520,994","330,138,117,850","218,816,193,250","111,321,924,600",보험업
028050,삼성엔지니어링,"51,696,883","41,490,267","10,206,616","510,372,126,480","404,645,061,760","105,727,064,720","건축기술, 엔지니어링 및 관련 기술 서비스업"
010140,삼성중공업,"122,212,160","99,777,384","22,434,776","518,200,520,960","416,340,715,690","101,859,805,270",선박 및 보트 건조업
105560,KB금융,"13,437,548","10,840,034","2,597,514","436,377,856,150","351,128,521,950","85,249,334,200",기타 금융업
009540,한국조선해양,"4,338,736","3,426,121","912,615","362,871,138,000","278,812,311,300","84,058,826,700",선박 및 보트 건조업
051900,LG생활건강,"284,207","212,226","71,981","325,062,655,000","244,307,214,000","80,755,441,000",기타 화학제품 제조업
011070,LG이노텍,"6,166,524","5,510,371","656,153","663,801,433,100","589,997,211,900","73,804,221,200",전자부품 제조업
