년/월/일,시가총액 전체(a),시가총액 외국인보유(b),시가총액 비율(b/a),주식주 전체(c),주식수 외국인보유(d),주식수 비율(d/c)
2020/07/20,"1,488,358,384","531,287,858","35.70","54,402,144","10,937,062","20.10"
2020/07/17,"1,490,180,654","532,787,013","35.75","54,402,141","10,941,195","20.11"
2020/07/16,"1,478,307,593","528,868,723","35.78","54,402,141","10,943,228","20.12"
2020/07/15,"1,490,240,355","534,459,519","35.86","54,365,770","10,933,016","20.11"
2020/07/14,"1,477,856,002","529,095,468","35.80","54,348,031","10,935,669","20.12"
2020/07/13,"1,479,593,286","529,190,619","35.77","54,348,031","10,918,697","20.09"
2020/07/10,"1,455,781,561","521,354,917","35.81","54,353,036","10,927,903","20.11"
2020/07/09,"1,467,208,749","524,535,717","35.75","54,339,863","10,928,230","20.11"
2020/07/08,"1,460,994,855","523,385,486","35.82","54,302,958","10,929,121","20.13"
2020/07/07,"1,465,179,698","526,406,516","35.93","54,295,878","10,945,048","20.16"
2020/07/06,"1,480,948,171","534,121,589","36.07","54,295,105","10,939,468","20.15"
2020/07/03,"1,456,812,255","524,374,560","35.99","54,295,105","10,939,288","20.15"
2020/07/02,"1,445,664,482","520,131,994","35.98","54,296,737","10,932,967","20.14"
2020/07/01,"1,417,280,238","513,449,214","36.23","55,041,801","10,944,360","19.88"
2020/06/30,"1,418,860,741","513,278,094","36.18","55,067,321","10,949,400","19.88"
2020/06/29,"1,408,463,552","509,325,375","36.16","55,071,269","10,957,054","19.90"
2020/06/26,"1,436,168,481","519,464,341","36.17","55,069,876","10,960,471","19.90"
2020/06/25,"1,420,866,478","512,061,778","36.04","55,065,759","10,973,430","19.93"
2020/06/24,"1,453,951,201","524,717,335","36.09","55,064,635","10,969,728","19.92"
2020/06/23,"1,433,435,233","515,391,316","35.95","55,064,635","10,979,901","19.94"
2020/06/22,"1,430,718,937","515,454,189","36.03","55,065,469","10,994,387","19.97"
2020/06/19,"1,441,080,603","519,315,623","36.04","55,065,031","11,004,293","19.98"
2020/06/18,"1,435,518,023","515,723,452","35.93","55,065,029","11,008,666","19.99"
2020/06/17,"1,440,025,502","517,403,091","35.93","55,073,621","11,028,107","20.02"
2020/06/16,"1,437,701,364","516,099,071","35.90","55,012,620","11,004,637","20.00"
2020/06/15,"1,366,175,254","491,388,594","35.97","55,012,620","11,031,463","20.05"
2020/06/12,"1,434,087,758","516,129,443","35.99","55,006,615","11,029,798","20.05"
2020/06/11,"1,464,392,590","529,892,665","36.19","55,016,744","11,051,333","20.09"
2020/06/10,"1,476,712,868","536,424,576","36.33","55,016,189","11,065,289","20.11"
2020/06/09,"1,472,051,666","535,726,043","36.39","55,014,189","11,074,047","20.13"
2020/06/08,"1,468,714,984","534,848,803","36.42","55,007,103","11,075,125","20.13"
2020/06/05,"1,466,769,477","535,153,406","36.49","55,005,476","11,077,377","20.14"
2020/06/04,"1,446,260,120","528,181,653","36.52","54,985,097","11,087,367","20.16"
2020/06/03,"1,442,871,666","526,935,524","36.52","54,984,948","11,086,749","20.16"
2020/06/02,"1,402,057,228","508,063,574","36.24","54,983,884","11,076,476","20.14"
2020/06/01,"1,387,477,879","503,020,485","36.25","54,983,884","11,077,100","20.15"
2020/05/29,"1,363,450,451","494,495,593","36.27","55,008,702","11,093,998","20.17"
2020/05/28,"1,363,293,486","495,118,469","36.32","55,007,317","11,103,662","20.19"
2020/05/27,"1,364,678,863","492,805,571","36.11","55,007,117","11,102,006","20.18"
2020/05/26,"1,363,735,034","492,626,441","36.12","55,003,538","11,095,945","20.17"
2020/05/25,"1,340,826,177","485,305,261","36.19","54,946,545","11,078,423","20.16"
2020/05/22,"1,324,302,793","480,226,974","36.26","54,945,369","11,102,808","20.21"
2020/05/21,"1,343,561,078","487,893,699","36.31","54,950,798","11,107,842","20.21"
2020/05/20,"1,337,699,454","486,249,430","36.35","54,938,955","11,099,638","20.20"
2020/05/19,"1,331,835,812","484,497,486","36.38","54,933,281","11,085,721","20.18"
2020/05/18,"1,301,926,005","472,052,125","36.26","54,935,064","11,092,011","20.19"
2020/05/15,"1,294,619,578","469,180,592","36.24","54,892,919","11,105,250","20.23"
2020/05/14,"1,292,884,145","469,249,467","36.29","54,887,223","11,127,770","20.27"
2020/05/13,"1,303,464,008","474,042,447","36.37","54,887,056","11,131,898","20.28"
2020/05/12,"1,291,568,130","469,874,609","36.38","54,880,764","11,152,173","20.32"
2020/05/11,"1,300,769,234","473,359,950","36.39","54,873,438","11,161,296","20.34"
2020/05/08,"1,307,404,236","476,011,028","36.41","54,842,271","11,164,961","20.36"
2020/05/07,"1,296,095,633","472,857,718","36.48","54,841,209","11,184,346","20.39"
2020/05/06,"1,296,556,106","474,334,995","36.58","54,893,940","11,197,409","20.40"
2020/05/04,"1,274,213,042","467,602,663","36.70","54,893,773","11,230,471","20.46"
2020/04/29,"1,309,179,248","480,621,723","36.71","54,895,359","11,227,613","20.45"
2020/04/28,"1,300,504,429","478,329,009","36.78","54,894,739","11,234,524","20.47"
2020/04/27,"1,293,318,257","475,897,595","36.80","54,893,785","11,205,825","20.41"
2020/04/24,"1,271,159,367","468,174,439","36.83","54,908,691","11,233,313","20.46"
2020/04/23,"1,287,024,851","474,060,378","36.83","54,902,032","11,233,066","20.46"
2020/04/22,"1,274,786,181","470,732,391","36.93","54,891,238","11,244,947","20.49"
2020/04/21,"1,263,694,526","466,462,902","36.91","54,889,933","11,273,927","20.54"
2020/04/20,"1,276,932,686","472,070,668","36.97","54,889,933","11,281,135","20.55"
2020/04/17,"1,287,911,931","478,240,582","37.13","54,888,089","11,273,283","20.54"
2020/04/16,"1,248,881,506","462,310,156","37.02","54,888,089","11,285,704","20.56"
