Source: IEA. All Rights Reserved
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/

,Advanced economies,Rest of the World,Units
1990,11.3,9.2,Gt CO2
1991,11.3,9.3,Gt CO2
1992,11.3,9.3,Gt CO2
1993,11.3,9.3,Gt CO2
1994,11.5,9.2,Gt CO2
1995,11.7,9.7,Gt CO2
1996,12,9.7,Gt CO2
1997,12.3,9.9,Gt CO2
1998,12.3,10,Gt CO2
1999,12.3,10.1,Gt CO2
2000,12.6,10.5,Gt CO2
2001,12.7,10.8,Gt CO2
2002,12.5,11.3,Gt CO2
2003,12.8,12.1,Gt CO2
2004,12.9,13.1,Gt CO2
2005,12.9,14,Gt CO2
2006,12.9,15,Gt CO2
2007,13,15.9,Gt CO2
2008,12.7,16.4,Gt CO2
2009,11.9,16.8,Gt CO2
2010,12.4,18,Gt CO2
2011,12.2,19.1,Gt CO2
2012,12,19.6,Gt CO2
2013,12,20.2,Gt CO2
2014,11.8,20.5,Gt CO2
2015,11.7,20.5,Gt CO2
2016,11.6,20.6,Gt CO2
2017,11.6,21.1,Gt CO2
2018,11.7,21.6,Gt CO2
2019,11.3,22,Gt CO2
