"행정구역별(읍면동)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"전국",51629512,25877195,25752317,49977951,24931554,25046397,1651561,945641,705920,20499543,19979188,17209,503146,17633327,3948984,10826044,508664,2139885,209750,824686
"읍부",4984023,2557807,2426216,4787535,2431315,2356220,196488,126492,69996,1942637,1890366,2505,49766,1862018,572652,1040205,74587,145491,29083,67246
"면부",4730290,2453691,2276599,4464067,2263139,2200928,266223,190552,75671,2030579,1971564,4177,54838,2066655,1536624,396594,34705,68087,30645,99218
"동부",41915199,20865697,21049502,40726349,20237100,20489249,1188850,628597,560253,16526327,16117258,10527,398542,13704654,1839708,9389245,399372,1926307,150022,658222
"서울특별시",9673936,4718972,4954964,9299511,4536552,4762959,374425,182420,192005,3981741,3839766,2563,139412,2894078,322453,1679639,112372,749971,29643,208223
"종로구",157967,77147,80820,145911,71611,74300,12056,5536,6520,68180,63773,123,4284,45729,12699,14530,5428,12140,932,4975
"중구",129797,62975,66822,117809,57240,60569,11988,5735,6253,57318,53102,105,4111,40177,6209,24417,1944,6719,888,4958
"용산구",226938,110685,116253,207812,99806,108006,19126,10879,8247,98580,92500,95,5985,71680,14792,35728,3996,16416,748,5518
"성동구",306796,150623,156173,295489,145220,150269,11307,5403,5904,128602,123963,78,4561,87830,10944,63976,2032,9785,1093,5705
"광진구",362304,175762,186542,342575,166730,175845,19729,9032,10697,156764,148735,87,7942,85638,16002,30425,4152,33565,1494,6580
"동대문구",358141,176323,181818,338293,167999,170294,19848,8324,11524,155542,146974,158,8410,100802,19484,60386,3181,16093,1658,8192
"중랑구",391668,193599,198069,385082,190871,194211,6586,2728,3858,162039,159444,59,2536,105691,19208,51475,4451,29040,1517,3513
"성북구",438734,211204,227530,424211,205031,219180,14523,6173,8350,177489,171943,183,5363,129994,24207,71754,6097,26446,1490,3378
"강북구",309138,150028,159110,304191,148057,156134,4947,1971,2976,129610,127551,98,1961,95097,18185,33282,4881,37671,1078,2322
"도봉구",328243,159569,168674,325292,158370,166922,2951,1199,1752,127249,126286,76,887,105526,8903,64580,4176,27138,729,3625
"노원구",534096,258737,275359,528268,256124,272144,5828,2613,3215,203647,202326,111,1210,186533,6783,161273,3467,14312,698,3339
"은평구",462552,223452,239100,456582,220818,235764,5970,2634,3336,183289,181338,84,1867,144611,16000,52607,6297,68390,1317,8225
"서대문구",318874,149438,169436,304508,144208,160300,14366,5230,9136,132305,127197,111,4997,94884,13378,48277,5486,26783,960,5196
"마포구",368181,174194,193987,355405,168819,186586,12776,5375,7401,159850,154940,106,4804,118619,12225,66582,3227,35003,1582,13712
"양천구",445591,218975,226616,439910,216381,223529,5681,2594,3087,164048,162039,51,1958,137850,7990,85921,4225,38855,859,6160
"강서구",578539,280629,297910,569360,276282,293078,9179,4347,4832,238901,235754,89,3058,190525,10697,111811,4966,61900,1151,22723
"구로구",433765,217086,216679,388079,192022,196057,45686,25064,20622,174431,156235,98,18098,124569,11827,77194,7392,27310,846,12291
"금천구",249344,127278,122066,221820,112288,109532,27524,14990,12534,108167,96298,77,11792,65244,9217,30918,3872,20696,541,6345
"영등포구",395286,198031,197255,346135,171625,174510,49151,26406,22745,166047,149831,138,16078,99971,14644,68984,1486,13674,1183,21341
"동작구",397980,193713,204267,380659,185596,195063,17321,8117,9204,168420,161495,111,6814,112032,14889,59188,5152,31713,1090,3118
"관악구",510303,255687,254616,484885,243815,241070,25418,11872,13546,247871,236761,211,10899,125148,21584,53915,6442,41274,1933,16636
"서초구",409491,196064,213427,402348,192460,209888,7143,3604,3539,157716,155418,77,2221,132040,6395,93299,5592,25426,1328,7216
