,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,택시 운송업,서울 종로,서울,종로구,157967,27,222,222,0,0,0.017092177480106604,0.14053568150309875,0.14053568150309875,0.0,0.0,0.0,0.0
1,택시 운송업,서울 중구,서울,중구,129797,18,235,239,5,0,0.013867808963227195,0.1810519503532439,0.1841336856784055,98.32635983263597,2.092050209205021,0.0,0.0
2,택시 운송업,서울 용산,서울,용산구,226938,53,452,579,128,0,0.023354396354951575,0.19917334249883226,0.25513576395315024,78.06563039723662,22.107081174438687,0.0,0.0
3,택시 운송업,서울 성동,서울,성동구,306796,57,1134,2508,1210,172,0.01857912097941303,0.36962672264305924,0.8174813230941734,45.21531100478469,48.24561403508772,6.8580542264752795,14.214876033057852
4,택시 운송업,서울 광진,서울,광진구,362304,22,1137,1915,784,0,0.006072248719307543,0.31382485426603074,0.5285616498851793,59.3733681462141,40.93994778067886,0.0,0.0
5,택시 운송업,서울 동대문,서울,동대문구,358141,43,1607,2291,690,0,0.012006444389221006,0.4487059565925152,0.6396921882722167,70.14404190309908,30.11785246617198,0.0,0.0
6,택시 운송업,서울 중랑,서울,중랑구,391668,44,3662,6579,2170,344,0.011234004309772562,0.9349755405087984,1.6797389625907655,55.66195470436236,32.983736130110955,5.228758169934641,15.852534562211984
7,택시 운송업,서울 성북,서울,성북구,438734,40,1719,2678,965,0,0.009117141593767522,0.39180915999215926,0.6103926297027356,64.18969380134428,36.03435399551904,0.0,0.0
8,택시 운송업,서울 강북,서울,강북구,309138,25,1788,2783,770,122,0.008087003215392479,0.5783824699648701,0.9002451979374907,64.24721523535753,27.66798418972332,4.383758533956163,15.844155844155845
9,택시 운송업,서울 도봉,서울,도봉구,328243,64,3128,6527,2959,10,0.019497750142424972,0.9529525382110206,1.9884658621813718,47.92400796690669,45.334763290945304,0.1532097441397273,0.33795201081446435
