,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,콜센터 및 텔레마케팅 서비스업,서울 종로,서울,종로구,157967,27,7,746,746,0,0.017092177480106604,0.004431305272620231,0.4722505333392417,0.938337801608579,100.0,0.0,0.0
1,콜센터 및 텔레마케팅 서비스업,서울 중구,서울,중구,129797,18,24,1869,1831,37,0.013867808963227195,0.01849041195096959,1.439940830681757,1.2841091492776886,97.96682718031032,1.9796682718031033,2.020753686510104
2,콜센터 및 텔레마케팅 서비스업,서울 용산,서울,용산구,226938,53,11,953,945,7,0.023354396354951575,0.004847138866122024,0.419938485401299,1.154249737670514,99.16054564533053,0.7345225603357817,0.7407407407407408
3,콜센터 및 텔레마케팅 서비스업,서울 성동,서울,성동구,306796,57,14,1826,1747,78,0.01857912097941303,0.004563292872136533,0.5951837703229508,0.7667031763417306,95.6736035049288,4.271631982475356,4.464796794504865
4,콜센터 및 텔레마케팅 서비스업,서울 광진,서울,광진구,362304,22,9,117,112,4,0.006072248719307543,0.002484101748807631,0.032293322734499204,7.6923076923076925,95.72649572649573,3.418803418803419,3.571428571428572
5,콜센터 및 텔레마케팅 서비스업,서울 동대문,서울,동대문구,358141,43,9,682,555,5,0.012006444389221006,0.0025129767326276522,0.1904277924057843,1.3196480938416422,81.37829912023462,0.7331378299120235,0.9009009009009009
6,콜센터 및 텔레마케팅 서비스업,서울 중랑,서울,중랑구,391668,44,15,289,210,20,0.011234004309772562,0.003829774196513374,0.07378698285282434,5.190311418685121,72.66435986159169,6.920415224913495,9.523809523809526
7,콜센터 및 텔레마케팅 서비스업,서울 성북,서울,성북구,438734,40,8,413,412,0,0.009117141593767522,0.0018234283187535045,0.09413448695564967,1.937046004842615,99.75786924939467,0.0,0.0
8,콜센터 및 텔레마케팅 서비스업,서울 강북,서울,강북구,309138,25,10,526,510,10,0.008087003215392479,0.003234801286156991,0.17015054765185775,1.9011406844106464,96.95817490494296,1.9011406844106464,1.9607843137254901
9,콜센터 및 텔레마케팅 서비스업,서울 도봉,서울,도봉구,328243,64,1,0,0,0,0.019497750142424972,0.0003046523459753902,0.0,0.0,0.0,0.0,0.0
10,콜센터 및 텔레마케팅 서비스업,서울 노원,서울,노원구,534096,54,8,184,103,0,0.010110541925047182,0.001497858062969953,0.03445073544830892,4.3478260869565215,55.97826086956522,0.0,0.0
11,콜센터 및 텔레마케팅 서비스업,서울 은평,서울,은평구,462552,61,2,0,0,0,0.01318770646327332,0.00043238381846797763,0.0,0.0,0.0,0.0,0.0
12,콜센터 및 텔레마케팅 서비스업,서울 서대문,서울,서대문구,318874,41,8,1174,327,843,0.012857743183828095,0.002508827938307921,0.3681704999466874,0.6814310051107325,27.85349233390119,71.80579216354343,257.79816513761466
13,콜센터 및 텔레마케팅 서비스업,서울 마포,서울,마포구,368181,48,18,1232,1155,4,0.013037066008294834,0.004888899753110563,0.33461802754623404,1.461038961038961,93.75,0.3246753246753247,0.34632034632034636
14,콜센터 및 텔레마케팅 서비스업,서울 양천,서울,양천구,445591,70,7,193,192,0,0.01570947348577507,0.0015709473485775072,0.04331326261077984,3.6269430051813467,99.48186528497409,0.0,0.0
15,콜센터 및 텔레마케팅 서비스업,서울 강서,서울,강서구,578539,99,10,672,633,10,0.017112070232084612,0.0017284919426348094,0.11615465854505919,1.488095238095238,94.19642857142857,1.488095238095238,1.579778830963665
16,콜센터 및 텔레마케팅 서비스업,서울 구로,서울,구로구,433765,89,30,4740,4605,50,0.02051802243150093,0.0069161873364609865,1.092757599160836,0.6329113924050633,97.15189873417721,1.0548523206751055,1.0857763300760044
17,콜센터 및 텔레마케팅 서비스업,서울 금천,서울,금천구,249344,38,40,3387,3257,120,0.01523998973305955,0.016042094455852154,1.3583643480492813,1.1809861234130499,96.16179509890759,3.54295837023915,3.6843721215842806
18,콜센터 및 텔레마케팅 서비스업,서울 영등포,서울,영등포구,395286,70,34,5623,4948,487,0.017708696994075176,0.008601367111407942,1.4225143313954958,0.6046594344655878,87.99573181575671,8.66085719366886,9.842360549717057
19,콜센터 및 텔레마케팅 서비스업,서울 동작,서울,동작구,397980,69,12,1441,1436,2,0.017337554650987488,0.003015226895823911,0.36207849640685463,0.8327550312283136,99.6530187369882,0.13879250520471895,0.13927576601671307
