년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
"1998/07/31","343.33","-1.58","-0.46","346.05","349.05","340.03","133,075","603,576,000,000",
"1998/07/30","344.91","0.50","0.15","343.97","346.92","339.35","94,242","468,453,000,000",
"1998/07/29","344.41","9.08","2.71","337.13","354.34","337.13","112,491","698,883,000,000",
"1998/07/28","335.33","5.53","1.68","329.98","335.33","329.98","67,793","367,403,000,000",
"1998/07/27","329.80","1.36","0.41","328.83","332.72","323.90","76,276","495,660,000,000",
"1998/07/25","328.44","-15.35","-4.46","340.34","340.78","327.89","68,794","358,098,000,000",
"1998/07/24","343.79","2.33","0.68","340.91","347.96","334.26","113,725","538,816,000,000",
"1998/07/23","341.46","-20.61","-5.69","362.49","366.57","341.46","120,826","634,262,000,000",
"1998/07/22","362.07","-2.69","-0.74","364.74","366.04","357.63","159,602","726,936,000,000",
"1998/07/21","364.76","-0.42","-0.12","366.76","374.08","364.24","134,941","893,870,000,000",
"1998/07/20","365.18","21.00","6.10","348.64","365.18","345.80","121,264","781,181,000,000",
"1998/07/18","344.18","13.83","4.19","333.13","353.22","333.13","76,193","517,514,000,000",
"1998/07/16","330.35","16.93","5.40","314.68","330.35","314.68","82,184","530,153,000,000",
"1998/07/15","313.42","6.69","2.18","307.99","316.10","307.99","81,681","417,678,000,000",
"1998/07/14","306.73","5.36","1.78","301.91","306.79","301.91","59,446","273,539,000,000",
"1998/07/13","301.37","-3.60","-1.18","303.74","304.91","299.68","55,536","294,930,000,000",
"1998/07/11","304.97","-4.31","-1.39","307.34","307.34","302.98","43,215","197,943,000,000",
"1998/07/10","309.28","-9.74","-3.05","319.30","320.76","306.41","81,850","408,294,000,000",
"1998/07/09","319.02","0.23","0.07","319.90","323.66","316.62","85,581","429,802,000,000",
"1998/07/08","318.79","1.29","0.41","321.49","323.40","318.01","85,562","419,653,000,000",
"1998/07/07","317.50","7.89","2.55","310.48","319.97","310.48","76,108","416,736,000,000",
"1998/07/06","309.61","1.76","0.57","306.12","310.57","305.06","61,514","277,003,000,000",
"1998/07/04","307.85","-0.68","-0.22","308.50","311.82","307.07","48,472","226,382,000,000",
"1998/07/03","308.53","-3.24","-1.04","312.12","316.09","306.37","64,543","356,062,000,000",
"1998/07/02","311.77","-3.79","-1.20","315.24","321.40","309.84","88,636","546,018,000,000",
"1998/07/01","315.56","17.68","5.94","298.01","318.74","298.01","100,134","470,522,000,000",
"1998/06/30","297.88","-0.72","-0.24","296.38","299.29","293.45","52,653","263,132,000,000",
"1998/06/29","298.60","-3.30","-1.09","302.80","305.45","296.28","65,485","329,592,000,000",
"1998/06/27","301.90","3.36","1.13","299.20","302.37","298.66","33,991","223,745,000,000",
"1998/06/26","298.54","-2.03","-0.68","299.87","305.13","297.94","60,781","300,359,000,000",
"1998/06/25","300.57","-1.15","-0.38","299.56","301.42","294.93","62,093","296,154,000,000",
"1998/06/24","301.72","-1.59","-0.52","300.32","304.09","296.27","74,141","348,877,000,000",
"1998/06/23","303.31","-7.96","-2.56","308.39","308.39","299.28","56,464","297,122,000,000",
"1998/06/22","311.27","-4.48","-1.42","316.16","319.55","311.27","60,825","315,303,000,000",
"1998/06/20","315.75","2.49","0.79","314.69","317.44","309.59","43,641","240,489,000,000",
"1998/06/19","313.26","-12.23","-3.76","323.05","324.26","308.99","79,469","473,536,000,000",
"1998/06/18","325.49","21.68","7.14","310.12","330.14","310.12","115,399","549,071,000,000",
"1998/06/17","303.81","23.81","8.50","287.98","303.81","287.98","78,078","385,127,000,000",
"1998/06/16","280.00","-8.21","-2.85","283.41","291.01","277.37","69,412","327,308,000,000",
"1998/06/15","288.21","-14.60","-4.82","300.69","303.61","288.21","53,370","249,055,000,000",
"1998/06/13","302.81","0.72","0.24","299.71","306.66","297.24","38,394","193,581,000,000",
"1998/06/12","302.09","-26.61","-8.10","318.31","318.31","301.10","73,660","351,051,000,000",
"1998/06/11","328.70","4.16","1.28","323.14","328.70","317.54","69,627","390,365,000,000",
"1998/06/10","324.54","-14.68","-4.33","341.79","344.37","324.54","79,712","427,406,000,000",
"1998/06/09","339.22","-6.66","-1.93","344.20","344.20","334.19","76,619","399,226,000,000",
"1998/06/08","345.88","4.35","1.27","345.38","353.29","345.38","78,775","411,838,000,000",
"1998/06/05","341.53","9.07","2.73","334.01","341.53","333.37","78,300","378,098,000,000",
"1998/06/03","332.46","8.36","2.58","324.82","332.61","324.82","85,646","371,877,000,000",
"1998/06/02","324.10","-12.60","-3.74","335.48","335.48","323.67","67,701","340,465,000,000",
"1998/06/01","336.70","4.67","1.41","334.10","342.11","333.01","83,725","399,622,000,000",
"1998/05/30","332.03","-4.60","-1.37","338.20","339.59","330.75","48,613","232,487,000,000",
"1998/05/29","336.63","13.54","4.19","323.77","337.89","323.77","70,264","428,416,000,000",
"1998/05/28","323.09","9.61","3.07","313.81","331.93","309.57","72,169","492,561,000,000",
"1998/05/27","313.48","1.49","0.48","313.84","313.84","301.22","59,778","384,137,000,000",
"1998/05/26","311.99","-19.91","-6.00","324.96","324.96","308.46","48,019","296,967,000,000",
"1998/05/25","331.90","-24.15","-6.78","353.40","353.40","331.75","51,989","458,236,000,000",
"1998/05/23","356.05","2.38","0.67","354.84","359.11","354.84","34,708","224,468,000,000",
"1998/05/22","353.67","-8.63","-2.38","361.09","361.09","352.23","62,101","328,240,000,000",
"1998/05/21","362.30","-6.87","-1.86","370.55","375.46","362.30","93,024","490,327,000,000",
"1998/05/20","369.17","6.64","1.83","364.06","374.97","364.06","79,144","479,931,000,000",
