,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,항공 여객 운송업,서울 종로,서울,종로구,157967,27,3,169,169,0,0.017092177480106604,0.0018991308311229562,0.10698437015325984,1.7751479289940828,100.0,0.0,0.0
1,항공 여객 운송업,서울 중구,서울,중구,129797,18,25,716,715,1,0.013867808963227195,0.01926084578225999,0.5516306232039261,3.4916201117318435,99.86033519553072,0.13966480446927373,0.13986013986013987
2,항공 여객 운송업,서울 용산,서울,용산구,226938,53,1,0,0,0,0.023354396354951575,0.000440648987829275,0.0,0.0,0.0,0.0,0.0
3,항공 여객 운송업,서울 성동,서울,성동구,306796,57,0,0,0,0,0.01857912097941303,0.0,0.0,0.0,0.0,0.0,0.0
4,항공 여객 운송업,서울 광진,서울,광진구,362304,22,0,0,0,0,0.006072248719307543,0.0,0.0,0.0,0.0,0.0,0.0
5,항공 여객 운송업,서울 동대문,서울,동대문구,358141,43,0,0,0,0,0.012006444389221006,0.0,0.0,0.0,0.0,0.0,0.0
6,항공 여객 운송업,서울 중랑,서울,중랑구,391668,44,0,0,0,0,0.011234004309772562,0.0,0.0,0.0,0.0,0.0,0.0
7,항공 여객 운송업,서울 성북,서울,성북구,438734,40,0,0,0,0,0.009117141593767522,0.0,0.0,0.0,0.0,0.0,0.0
8,항공 여객 운송업,서울 강북,서울,강북구,309138,25,0,0,0,0,0.008087003215392479,0.0,0.0,0.0,0.0,0.0,0.0
9,항공 여객 운송업,서울 도봉,서울,도봉구,328243,64,0,0,0,0,0.019497750142424972,0.0,0.0,0.0,0.0,0.0,0.0
10,항공 여객 운송업,서울 노원,서울,노원구,534096,54,0,0,0,0,0.010110541925047182,0.0,0.0,0.0,0.0,0.0,0.0
11,항공 여객 운송업,서울 은평,서울,은평구,462552,61,0,0,0,0,0.01318770646327332,0.0,0.0,0.0,0.0,0.0,0.0
12,항공 여객 운송업,서울 서대문,서울,서대문구,318874,41,0,0,0,0,0.012857743183828095,0.0,0.0,0.0,0.0,0.0,0.0
13,항공 여객 운송업,서울 마포,서울,마포구,368181,48,1,0,0,0,0.013037066008294834,0.0002716055418394757,0.0,0.0,0.0,0.0,0.0
14,항공 여객 운송업,서울 양천,서울,양천구,445591,70,0,0,0,0,0.01570947348577507,0.0,0.0,0.0,0.0,0.0,0.0
15,항공 여객 운송업,서울 강서,서울,강서구,578539,99,12,25545,25327,218,0.017112070232084612,0.0020741903311617712,4.41543266746062,0.046975924838520255,99.14660403210021,0.8533959678997847,0.8607415011647648
