공통코드명,상세코드,상세코드명
DSRC링크유형구분코드,0,휴게소구간
DSRC링크유형구분코드,1,일반구간
DSRC링크유형구분코드,2,램프포함구간
DSRC차종유형구분코드,1,일반
DSRC차종유형구분코드,2,버스
RSE위치구분코드,1,일반구간
RSE위치구분코드,2,휴게소
RSE위치구분코드,3,T/G
RSE위치구분코드,4,JC
TCS차종구분코드,1,1종
TCS차종구분코드,2,2종
TCS차종구분코드,3,3종
TCS차종구분코드,4,4종
TCS차종구분코드,5,5종
TCS차종구분코드,6,6종
TCS차종구분코드,7,7종
TCS차종구분코드,8,8종
TCS하이패스구분코드,1,TCS
TCS하이패스구분코드,2,hi-pass
VDS존유형구분코드,1,FTMS 본선 VDS
VDS존유형구분코드,2,TTMS 터널 VDS
VDS존유형구분코드,3,민자고속도로 VDS
VDS존유형구분코드,4,램프 VDS
VDS존유형구분코드,5,가상 VDS
VDS존유형구분코드,6,정보없음
기점종점방향구분코드,E,종점
기점종점방향구분코드,O,양방향
기점종점방향구분코드,S,기점
노드유형구분코드,00,IC
노드유형구분코드,01,JC
노드유형구분코드,02,TG
노드유형구분코드,03,터널
노드유형구분코드,04,교량
노드유형구분코드,05,휴게소
노드유형구분코드,10,기타
도로등급구분코드,101,고속국도
도로등급구분코드,102,도시고속국도
도로등급구분코드,103,일반국도
도로등급구분코드,104,특별광역시도
도로등급구분코드,105,국가지원지방도
도로등급구분코드,106,지방도
도로등급구분코드,107,시/군도
도로등급구분코드,108,민자고속국도(위탁)
도로등급구분코드,109,민자고속국도(일반)
도로등급구분코드,110,기타
돌발유형구분코드,00,사고
돌발유형구분코드,01,고장
돌발유형구분코드,02,장애물
돌발유형구분코드,03,작업
돌발유형구분코드,04,차량증가/정체
돌발유형구분코드,05,화재
돌발유형구분코드,06,강우
돌발유형구분코드,07,강설
돌발유형구분코드,08,노면결빙
돌발유형구분코드,09,안개
돌발유형구분코드,10,위험물질방출
돌발유형구분코드,11,지진
돌발유형구분코드,12,산사태
돌발유형구분코드,13,홍수
돌발유형구분코드,14,태풍
돌발유형구분코드,15,이벤트/홍보
돌발유형구분코드,16,역주행
돌발유형구분코드,17,결빙
돌발유형구분코드,18,적설
돌발유형구분코드,19,강풍
돌발유형구분코드,20,어는비
돌발유형구분코드,21,노면습기
돌발유형구분코드,22,터널내보행자
돌발유형구분코드,30,차로차단
돌발유형구분코드,31,전면차단
돌발유형구분코드,70,졸음쉼터
돌발유형구분코드,71,갓길차로
돌발유형구분코드,72,터널역광
돌발유형구분코드,73,사고잦은구간
돌발유형구분코드,74,휴게소혼잡정보
돌발유형구분코드,75,확장공사구간
돌발유형구분코드,76,잦은눈피해구간
버스전용차로유무,0,무(無)
버스전용차로유무,1,유(有)
영업방식구분코드,0,TCS전용
영업방식구분코드,1,Hi-Pass전용
영업방식구분코드,2,TCS+Hi-Pass
영업형태구분코드,0,폐쇄식
영업형태구분코드,1,개방식
입출구구분코드,0,입구
입출구구분코드,1,출구
차로유형구분코드,0,전체
차로유형구분코드,1,일반차로
차로유형구분코드,2,버스차로
차로유형구분코드,3,합류차로
차로유형구분코드,4,갓길차로
차로유형구분코드,5,램프차로
차로유형구분코드,6,버스전용차로구간일반차로
출발도착기준구분코드,1,출발기준
출발도착기준구분코드,2,도착기준
콘텐츠유형코드,00,사고
콘텐츠유형코드,01,고장
콘텐츠유형코드,02,장애물
콘텐츠유형코드,03,작업
콘텐츠유형코드,04,차량증가/정체
콘텐츠유형코드,06,강우
콘텐츠유형코드,09,안개
콘텐츠유형코드,17,결빙
콘텐츠유형코드,18,적설
콘텐츠유형코드,19,강풍
콘텐츠유형코드,20,어는비
콘텐츠유형코드,21,노면습기
콘텐츠유형코드,30,차로차단
콘텐츠유형코드,31,전면차단
콘텐츠유형코드,70,졸음쉼터
콘텐츠유형코드,71,갓길차로
콘텐츠유형코드,72,터널역광
콘텐츠유형코드,73,사고잦은구간
콘텐츠유형코드,74,휴게소혼잡정보
콘텐츠유형코드,75,확장공사구간
콘텐츠유형코드,76,잦은눈피해구간
