,산업명,인구 대비 산업체수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 비정규 종사자 비
0,운수 및 창고업(49~52),"(0.01992207788241685, 0.7632797562690231)","(-0.03378917704710322, 0.6094133396450547)","(0.09814335461167627, 0.1369750683072785)","(0.003883161701648506, 0.9531918523082109)"
1,제조업(10~34),"(0.05100556542554414, 0.44040206574171886)","(-0.03167563754371214, 0.6319837463720956)","(0.17474400856904226, 0.007768154147831594)","(0.018671515964026004, 0.7777383061020557)"
2,택시 운송업,"(0.07194194811571843, 0.2741050086925293)","(0.05082231366405722, 0.44005762918512265)","(0.0633727629909251, 0.3354927038070436)","(-0.03947407379444977, 0.5488136619471623)"
3,숙박 및 음식점업(55~56),"(-0.016459104976044595, 0.8035026885483165)","(-0.004931471700251721, 0.9405761500696971)","(0.020453661026294236, 0.7571582174973124)","(0.02887109337759869, 0.6624643970907005)"
4,금융 및 보험업(64~66),"(0.07741973709991007, 0.2411750165398572)","(0.04915396836182942, 0.4571956805818188)","(0.024044323424193156, 0.7162223011857297)","(-0.05550954660422003, 0.4010524865295142)"
5,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","(0.13852744749847287, 0.03536372079487431)","(0.11702644147166538, 0.07588081369471454)","(-0.010272725472533583, 0.8765934664762248)","(0.018476828748109974, 0.7799962448690984)"
6,"예술, 스포츠 및 여가관련 서비스업(90~91)","(0.05044234547079124, 0.4454728167615204)","(-0.025539758169199556, 0.6994018918735306)","(0.08467816737970425, 0.1997306292801441)","(0.06635129872504428, 0.3153358403154762)"
7,교육 서비스업(85),"(0.14138542997931866, 0.0317123929071747)","(0.02189112117834833, 0.7406815041032563)","(0.13025558763943945, 0.047995711243530005)","(-0.02354522228766631, 0.7218671785063341)"
8,보건업 및 사회복지 서비스업(86~87),"(0.0974073497712372, 0.13995882550763575)","(0.21613473697530128, 0.0009453335582978157)","(-0.1377974378426923, 0.036351561631997244)","(0.006070429128907363, 0.926886440049153)"
9,방문 판매업,"(0.06759154382004134, 0.3042478091204082)","(0.17990617487183008, 0.005889247113948667)","(0.04105266619163523, 0.5329333079558662)","(-0.005037292953493423, 0.9390388976247552)"
10,택배업,"(-0.031227031567718104, 0.6353486647055256)","(-0.001759494463548211, 0.9786885681696725)","(-0.035722123446639935, 0.58746363620835)","(0.00525786269075505, 0.9363750823269599)"
11,주점업,"(0.018609869763338956, 0.7775110296722947)","(0.06180729007928734, 0.34759124311238515)","(-0.021177780254674, 0.7477843032671418)","(-0.06491481996340576, 0.32384187335021397)"
12,항공 여객 운송업,"(-0.0009808190894610215, 0.9881191092744084)","(-0.011768669587269881, 0.8581881839631369)","(-0.01703826626609978, 0.7958683364180653)","(-0.008500426013882047, 0.897311852699172)"
13,개인 간병 및 유사 서비스업,"(-0.06483003235636842, 0.3244755903050584)","(-0.0604952524483342, 0.35794077604457336)","(-0.060053557940599744, 0.36146782569163033)","(-0.05176951794587858, 0.43157166336907943)"
14,종교 단체,"(-0.08128433030186012, 0.2164120800292964)","(0.017849789710133224, 0.7863745224735567)","(-0.16168669818338507, 0.01347178772072481)","(0.054189484508839356, 0.4103242510744657)"
15,사회복지 서비스업,"(-0.07006532709254434, 0.28684950463622877)","(0.00676740549119699, 0.9181648971720664)","(-0.10390527841665742, 0.11369528275126388)","(0.08662750536649173, 0.18761134499312393)"
16,콜센터 및 텔레마케팅 서비스업,"(0.16969571533225403, 0.00945327717846719)","(0.0532794023042095, 0.41824137321066573)","(0.04035027713800364, 0.5399706136644847)","(-0.01806412830051669, 0.7838722237939753)"
