,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,금융 및 보험업(64~66),서울 종로,서울,종로구,157967,27,567,19260,17224,294,0.017092177480106604,0.3589357270822387,12.192419935809378,2.9439252336448596,89.42886812045691,1.5264797507788161,1.706920575940548
1,금융 및 보험업(64~66),서울 중구,서울,중구,129797,18,1217,50108,43141,1255,0.013867808963227195,0.9376179726804164,38.60489841829934,2.4287538915941567,86.09603256964957,2.5045900854155025,2.909065622030087
2,금융 및 보험업(64~66),서울 용산,서울,용산구,226938,53,266,5085,4327,40,0.023354396354951575,0.11721263076258713,2.240700103111863,5.231071779744346,85.09341199606686,0.7866273352999017,0.9244280101687083
3,금융 및 보험업(64~66),서울 성동,서울,성동구,306796,57,314,4131,2527,243,0.01857912097941303,0.10234814013220513,1.3464973467711445,7.601065117404987,61.171629145485355,5.88235294117647,9.61614562722596
4,금융 및 보험업(64~66),서울 광진,서울,광진구,362304,22,235,4739,1882,81,0.006072248719307543,0.06486265677442149,1.3080175763999293,4.958852078497573,39.71301962439333,1.709221354716185,4.303931987247609
5,금융 및 보험업(64~66),서울 동대문,서울,동대문구,358141,43,275,4314,2320,17,0.012006444389221006,0.0767854001636227,1.2045535138395214,6.374594343996291,53.77839592025963,0.39406583217431623,0.7327586206896551
6,금융 및 보험업(64~66),서울 중랑,서울,중랑구,391668,44,162,1800,1221,57,0.011234004309772562,0.041361561322344434,0.45957290358160485,9.0,67.83333333333333,3.166666666666667,4.6683046683046685
7,금융 및 보험업(64~66),서울 성북,서울,성북구,438734,40,145,1512,1315,46,0.009117141593767522,0.03304963827740727,0.34462795224441234,9.58994708994709,86.97089947089947,3.0423280423280423,3.4980988593155895
8,금융 및 보험업(64~66),서울 강북,서울,강북구,309138,25,267,4074,1282,62,0.008087003215392479,0.08636919434039167,1.3178580439803582,6.5537555228276885,31.467844869906724,1.5218458517427589,4.83619344773791
9,금융 및 보험업(64~66),서울 도봉,서울,도봉구,328243,64,134,1281,981,54,0.019497750142424972,0.04082341436070228,0.3902596551944748,10.460577673692429,76.5807962529274,4.215456674473068,5.5045871559633035
10,금융 및 보험업(64~66),서울 노원,서울,노원구,534096,54,236,4253,1753,69,0.010110541925047182,0.04418681285761361,0.7962987927264011,5.549024218198919,41.21796379026569,1.6223841993886667,3.936109526525955
11,금융 및 보험업(64~66),서울 은평,서울,은평구,462552,61,164,2324,1267,335,0.01318770646327332,0.035455473114374164,0.50242999705979,7.056798623063683,54.51807228915663,14.414802065404475,26.44041041831097
12,금융 및 보험업(64~66),서울 서대문,서울,서대문구,318874,41,181,4067,3181,137,0.012857743183828095,0.05676223210421671,1.2754254031372894,4.45045488074748,78.21490041799852,3.3685763462011313,4.306821754165357
