,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,택배업,서울 종로,서울,종로구,157967,27,27,258,85,99,0.017092177480106604,0.017092177480106604,0.16332525147657423,10.465116279069768,32.945736434108525,38.372093023255815,116.47058823529413
1,택배업,서울 중구,서울,중구,129797,18,71,2016,1877,70,0.013867808963227195,0.054700802021618374,1.5531946038814457,3.5218253968253967,93.10515873015873,3.4722222222222223,3.7293553542887588
2,택배업,서울 용산,서울,용산구,226938,53,29,172,90,32,0.023354396354951575,0.012778820647048973,0.0757916259066353,16.86046511627907,52.32558139534884,18.6046511627907,35.55555555555555
3,택배업,서울 성동,서울,성동구,306796,57,35,358,222,33,0.01857912097941303,0.011408232180341335,0.11668991773034851,9.776536312849162,62.01117318435754,9.217877094972067,14.864864864864865
4,택배업,서울 광진,서울,광진구,362304,22,10,374,283,52,0.006072248719307543,0.0027601130542307013,0.10322822822822822,2.6737967914438503,75.66844919786097,13.903743315508022,18.374558303886925
5,택배업,서울 동대문,서울,동대문구,358141,43,37,274,81,65,0.012006444389221006,0.010331126567469238,0.07650618052666408,13.503649635036496,29.56204379562044,23.722627737226276,80.2469135802469
6,택배업,서울 중랑,서울,중랑구,391668,44,15,97,29,41,0.011234004309772562,0.003829774196513374,0.02476587313745315,15.463917525773196,29.896907216494846,42.2680412371134,141.3793103448276
7,택배업,서울 성북,서울,성북구,438734,40,6,17,9,2,0.009117141593767522,0.0013675712390651283,0.0038747851773511966,35.294117647058826,52.94117647058824,11.76470588235294,22.22222222222222
8,택배업,서울 강북,서울,강북구,309138,25,11,45,23,11,0.008087003215392479,0.00355828141477269,0.01455660578770646,24.444444444444443,51.11111111111111,24.444444444444443,47.82608695652174
9,택배업,서울 도봉,서울,도봉구,328243,64,14,246,79,14,0.019497750142424972,0.004265132843655463,0.07494447710994598,5.691056910569105,32.113821138211385,5.691056910569105,17.72151898734177
10,택배업,서울 노원,서울,노원구,534096,54,12,147,45,18,0.010110541925047182,0.0022467870944549296,0.027523141907072887,8.16326530612245,30.612244897959183,12.244897959183673,40.0
11,택배업,서울 은평,서울,은평구,462552,61,8,33,11,3,0.01318770646327332,0.0017295352738719105,0.007134333004721631,24.242424242424242,33.33333333333333,9.090909090909092,27.272727272727277
12,택배업,서울 서대문,서울,서대문구,318874,41,11,121,14,55,0.012857743183828095,0.003449638415173391,0.0379460225669073,9.090909090909092,11.570247933884298,45.45454545454545,392.85714285714283
13,택배업,서울 마포,서울,마포구,368181,48,40,1021,753,43,0.013037066008294834,0.010864221673579028,0.2773092582181047,3.9177277179236047,73.75122428991186,4.211557296767874,5.710491367861885
14,택배업,서울 양천,서울,양천구,445591,70,10,235,32,5,0.01570947348577507,0.0022442104979678674,0.05273894670224489,4.25531914893617,13.617021276595745,2.127659574468085,15.625
15,택배업,서울 강서,서울,강서구,578539,99,44,430,198,28,0.017112070232084612,0.007605364547593162,0.0743251535332968,10.232558139534884,46.04651162790698,6.511627906976744,14.14141414141414
16,택배업,서울 구로,서울,구로구,433765,89,30,231,95,91,0.02051802243150093,0.0069161873364609865,0.0532546424907496,12.987012987012985,41.125541125541126,39.39393939393939,95.78947368421052
17,택배업,서울 금천,서울,금천구,249344,38,75,642,225,68,0.01523998973305955,0.030078927104722795,0.2574756160164271,11.682242990654206,35.046728971962615,10.59190031152648,30.22222222222222
18,택배업,서울 영등포,서울,영등포구,395286,70,39,471,375,21,0.017708696994075176,0.00986627403955617,0.11915423263156298,8.280254777070063,79.61783439490446,4.45859872611465,5.6
19,택배업,서울 동작,서울,동작구,397980,69,10,54,29,11,0.017337554650987488,0.0025126890798532592,0.013568521031207599,18.51851851851852,53.70370370370371,20.37037037037037,37.93103448275861
20,택배업,서울 관악,서울,관악구,510303,138,6,45,5,0,0.02704275695028248,0.0011757720413166296,0.00881829030987472,13.333333333333334,11.11111111111111,0.0,0.0
21,택배업,서울 서초,서울,서초구,409491,61,33,229,184,16,0.014896542292748801,0.008058785174765746,0.055923085000647146,14.41048034934498,80.34934497816593,6.986899563318777,8.695652173913043
22,택배업,서울 강남,서울,강남구,507810,95,29,180,98,4,0.018707784407554006,0.005710797345463855,0.03544632835115496,16.11111111111111,54.44444444444444,2.2222222222222223,4.081632653061225
23,택배업,서울 송파,서울,송파구,638167,87,37,780,175,11,0.013632795177437882,0.005797855420289674,0.12222506021151204,4.743589743589744,22.435897435897438,1.4102564102564104,6.2857142857142865
