종교분류,종교단체명,소재지도로명주소,소재지지번주소,전화번호
기독교,갈릴리기도원,전라북도 군산시 옥구읍 남군산로 1530,전라북도 군산시 옥구읍 어은리22번지 ,063-471-1178
기독교,다기생명샘교회,전라북도 군산시 옥구읍 오곡길 117,전라북도 군산시 옥구읍 오곡리227-1번지 ,063-464-8621
기독교,대은교회,전라북도 군산시 옥구읍 동마산길 5-5,전라북도 군산시 옥구읍 어은리198-1번지 ,063-471-5999
기독교,서부교회,전라북도 군산시 옥구읍 둔산1길 27-16,전라북도 군산시 옥구읍 어은리339-2번지 ,063-471-3395
기독교,둔산제일교회,전라북도 군산시 옥구읍 둔산1길 74,전라북도 군산시 옥구읍 어은리679번지 ,
기독교,믿음의 교회,전라북도 군산시 옥구읍 할미로 144,전라북도 군산시 옥구읍 옥정리439-2번지 ,070-8630-2556
기독교,베데스다예수마을,전라북도 군산시 옥구읍 광월길 63,전라북도 군산시 옥구읍 상평리595번지 ,
기독교,빛과소금선교회,전라북도 군산시 옥구읍 향교골길 58,전라북도 군산시 옥구읍 이곡리712번지 ,063-471-1871
기독교,산소망교회,전라북도 군산시 옥구읍 광월길 56,전라북도 군산시 옥구읍 상평리547-1번지 ,063-463-7393
기독교,상평교회,전라북도 군산시 옥구읍 상평향교길 15-14,전라북도 군산시 옥구읍 상평리728-1번지 ,063-464-9384
기독교,수산교회,전라북도 군산시 옥구읍 수산길 71-25,전라북도 군산시 옥구읍 수산리189-12번지 ,063-464-9304
기독교,어은교회,전라북도 군산시 옥구읍 어은동로 252,전라북도 군산시 옥구읍 어은리110-3번지 ,063-471-4938
기독교,옥구교회,전라북도 군산시 옥구읍 수레기길 19,전라북도 군산시 옥구읍 선제리408-3번지 ,063-464-9605
기독교,옥정교회,전라북도 군산시 옥구읍 옥정길 82-5,전라북도 군산시 옥구읍 옥정리94-7번지 ,063-464-3210
기독교,우포교회,전라북도 군산시 옥구읍 우포길 39,전라북도 군산시 옥구읍 수산리91-1번지 ,
기독교,이곡교회,전라북도 군산시 옥구읍 개구멀길 12-9,전라북도 군산시 옥구읍 이곡리627번지 ,063-464-8257
기독교,나눔의 교회,전라북도 군산시 옥구읍 할미로 171,전라북도 군산시 옥구읍 옥정리406-1번지 ,063-464-9943
기독교,옥산중앙교회,전라북도 군산시 옥산면 여로1길 3,전라북도 군산시 옥산면 옥산리72번지 ,063-464-4031
기독교,금관교회,전라북도 군산시 옥산면 망동길 8,전라북도 군산시 옥산면 남내리275-1번지 ,063-464-4717
기독교,백석교회,전라북도 군산시 옥산면 백석안길 61,전라북도 군산시 옥산면 당북리587-28번지 ,063-465-0691
기독교,헤세드(열린)교회,전라북도 군산시 옥산면 외당원길 75,전라북도 군산시 옥산면 당북리920번지 ,063-465-8192
기독교,주찬영교회,전라북도 군산시 옥산면 옥산로 228,전라북도 군산시 옥산면 옥산리75-3번지 ,
기독교,하늘문교회,전라북도 군산시 옥산면 평사길 7-2,전라북도 군산시 옥산면 쌍봉리744-24번지 ,
기독교,명분교회,전라북도 군산시 옥산면 산성로 203,전라북도 군산시 옥산면 옥산리23-18번지 ,063-467-7942
기독교,옥산축복교회,전라북도 군산시 옥산면 대위로 129,전라북도 군산시 옥산면 남내리315번지 ,063-464-7715
기독교,예은교회,전라북도 군산시 옥산면 산성로 219,전라북도 군산시 옥산면 옥산리86-13번지 ,
기독교,한림교회,전라북도 군산시 옥산면 염의서원길 16,전라북도 군산시 옥산면 당북리637-6번지 ,
기독교,넘치는교회,전라북도 군산시 옥산면 외당원길 75,전라북도 군산시 옥산면 당북리920번지 ,063-461-5999
기독교,전원교회,전라북도 군산시 옥산면 대위로 126,전라북도 군산시 옥산면 남내리605번지 ,
기독교,옥산제일교회,전라북도 군산시 옥산면 대려2길 18-2,전라북도 군산시 옥산면 옥산리323-4번지 ,063-464-4355
기독교,옥산교회,전라북도 군산시 옥산면 산성로 215,전라북도 군산시 옥산면 옥산리86-3번지 ,063-464-4054
기독교,초청교회,전라북도 군산시 옥산면 흑석길 22-20,전라북도 군산시 옥산면 쌍봉리15번지 ,
기독교,회현교회,전라북도 군산시 회현면 광지산길 12,전라북도 군산시 회현면 대정리363-1번지 ,063-466-5101
기독교,옥성교회,전라북도 군산시 회현면 금광옥흥길 16,전라북도 군산시 회현면 금광리1249-337번지 ,
기독교,월연교회,전라북도 군산시 회현면 남군산로 987,전라북도 군산시 회현면 월연리177번지 ,
기독교,금성교회,전라북도 군산시 회현면 방죽안길 10,전라북도 군산시 회현면 대정리575-3번지 ,063-466-5150
기독교,원우리교회,전라북도 군산시 회현면 용화1길 13,전라북도 군산시 회현면 원우리299-1번지 ,063-466-6372
기독교,금광교회,전라북도 군산시 회현면 원당2길 2,전라북도 군산시 회현면 금광리508-2번지 ,
기독교,증석교회,전라북도 군산시 회현면 증석1길 35-4,전라북도 군산시 회현면 증석리408-4번지 ,063-466-5614
기독교,산돌교회,전라북도 군산시 회현면 회현로 149-2,전라북도 군산시 회현면 대정리127-5번지 ,
기독교,사랑의교회,전라북도 군산시 회현면 표산길 100,전라북도 군산시 회현면 원우리120번지 ,
기독교,대한전원교회,전라북도 군산시 회현면 표산길 115,전라북도 군산시 회현면 원우리515-4번지 ,063-466-5900
기독교,빛과소금의교회,전라북도 군산시 회현면 대위안길 20-8,전라북도 군산시 회현면 고사리176-5번지 ,
기독교,풍촌교회,전라북도 군산시 회현면 회미로 529,전라북도 군산시 회현면 학당리683-1번지 ,063-466-1108
기독교,술산반석교회,전라북도 군산시 임피면 주산1길 36,전라북도 군산시 임피면 술산리756-1번지 ,063-453-3642
기독교,보석성광교회,전라북도 군산시 임피면 보석보암길 5,전라북도 군산시 임피면 보석리460-1번지 ,063-453-7622
기독교,술산교회,전라북도 군산시 임피면 술산길 40,전라북도 군산시 임피면 술산리384-1번지 ,063-453-3034
기독교,영창성광교회,전라북도 군산시 임피면 만석길 49-2,전라북도 군산시 임피면 영창리153번지 ,
기독교,참사랑교회,전라북도 군산시 임피면 축성로199,전라북도 군산시 임피면 축산리500번지 ,063-453-0119
기독교,임피교회,전라북도 군산시 임피면 임피향교길 25-2,전라북도 군산시 임피면 읍내리408번지 ,063-453-2437
기독교,동산전원교회,전라북도 군산시 임피면 축성로 151-37,전라북도 군산시 임피면 축산리399-3번지 ,
기독교,임피제일교회,전라북도 군산시 임피면 임피성내길 24-5,전라북도 군산시 임피면 읍내리426-14번지 ,063-453-2754
기독교,대일교회,전라북도 군산시 임피면 남상길 22,전라북도 군산시 임피면 읍내리496-1번지 ,063-453-5588
기독교,광림교회,전라북도 군산시 임피면 구절길 32-5,전라북도 군산시 임피면 보석리415-1번지 ,063-453-8635
기독교,태양교회(기도원),전라북도 군산시 임피면 소령안길 21,전라북도 군산시 임피면 영창리914-1번지 ,063-453-1819
기독교,남산기도원,전라북도 군산시 임피면 보석남산길 62,전라북도 군산시 임피면 보석리24-1번지 ,063-453-2485
기독교,희망찬교회,전라북도 군산시 임피면 소령길 25-3,전라북도 군산시 임피면 영창리910-1번지 ,063-453-8874
기독교,생명나무교회,전라북도 군산시 임피면 호원대3길 31,전라북도 군산시 임피면 월하리470-41번지 ,063-451-9199
기독교,군장순복음교회,전라북도 군산시 임피면 왕산2길 20,전라북도 군산시 임피면 보석리620-1번지 ,063-443-0675
기독교,한국벧엘교회,전라북도 군산시 임피면 신털매길 14,전라북도 군산시 임피면 술산리190-1번지 ,063-453-9610
기독교,서수중앙교회,전라북도 군산시 서수면 원관원길 16,전라북도 군산시 서수면 관원리167-19번지 ,063-451-0265
기독교,마룡교회,전라북도 군산시 서수면 청룡로 94-3,전라북도 군산시 서수면 마룡리690-1번지 ,063-453-3098
기독교,서수교회,전라북도 군산시 서수면 탑천로 599,전라북도 군산시 서수면 서수리792-4번지 ,063-453-3576
기독교,금암나사렛성결교회,전라북도 군산시 서수면 황등서로 341-8,전라북도 군산시 서수면 금암리266-2번지 ,063-453-3065
기독교,금암교회,전라북도 군산시 서수면 하금길 37-3,전라북도 군산시 서수면 금암리496-9번지 ,063-453-3474
기독교,행복한교회,전라북도 군산시 서수면 서라로 199,전라북도 군산시 서수면 마룡리863-9번지 ,
기독교,만유중앙교회,전라북도 군산시 서수면 하금길 50-11,전라북도 군산시 서수면 금암리430번지 ,063-453-6382
기독교,서수제일교회,전라북도 군산시 서수면 항쟁로 270-1,전라북도 군산시 서수면 서수리294-4번지 ,063-453-1533
기독교,성은교회,전라북도 군산시 서수면 남산로 283-10,전라북도 군산시 서수면 서수리1393번지 ,
기독교,화등중앙교회,전라북도 군산시 서수면 화등길 116,전라북도 군산시 서수면 화등리316-1번지 ,
기독교,신성교회,전라북도 군산시 서수면 황등서로 505-10,전라북도 군산시 서수면 화등리546-11번지 ,
기독교, 시온교회 ,전라북도 군산시 서수면 황등서로 629,전라북도 군산시 서수면 마룡리9번지 ,063-451-9191 
기독교,영생교회,전라북도 군산시 서수면 상장곤길 11,전라북도 군산시 서수면 마룡리437-1번지 ,063-453-3415
기독교,중앙교회,전라북도 군산시 대야면 번영로 919,전라북도 군산시 대야면 지경리728-14번지 ,063-451-2502
기독교,대야교회,전라북도 군산시 대야면 대야관통로 97,전라북도 군산시 대야면 산월리391번지 ,063-451-6281
기독교,지경교회,전라북도 군산시 대야면 만자로 21,전라북도 군산시 대야면 지경리791번지 ,063-451-2060
기독교,제일교회,전라북도 군산시 대야면 서악길 20,전라북도 군산시 대야면 산월리783-2번지 ,063-451-5352
기독교,광명교회,전라북도 군산시 대야면 우덕실길 34-3,전라북도 군산시 대야면 지경리766-14번지 ,
기독교,신광교회,전라북도 군산시 대야면 번영로 879-4,전라북도 군산시 대야면 지경리765-1번지 ,063-451-2723
기독교,새희망교회,전라북도 군산시 대야면 내상길 7,전라북도 군산시 대야면 지경리129-12번지 ,
기독교,임마누엘교회,전라북도 군산시 대야면 금반길 4,전라북도 군산시 대야면 지경리993-21번지 ,063-451-4454
기독교,경창교회,전라북도 군산시 대야면 남군산로 262,전라북도 군산시 대야면 지경리1165-85번지 ,063-451-3292
기독교,대광교회,전라북도 군산시 대야면 남군산로 128,전라북도 군산시 대야면 복교리955-6번지 ,
기독교,새샘교회,전라북도 군산시 대야면 상리길 38,전라북도 군산시 대야면 복교리467-24번지 ,063-451-1009
기독교,접산교회,전라북도 군산시 대야면 라궁길 23-11,전라북도 군산시 대야면 접산리756-119번지 ,063-451-4078
기독교,죽산교회,전라북도 군산시 대야면 탑동길 13-28,전라북도 군산시 대야면 죽산리267-1번지 ,063-451-2409
기독교,광원교회,전라북도 군산시 대야면 원두길 49,전라북도 군산시 대야면 광교리45-4번지 ,063-451-5070
기독교,임마누엘수양관,전라북도 군산시 대야면 수림로 221,전라북도 군산시 대야면 보덕리640-3번지 ,063-451-3191
기독교,벧엘수양관(엘벧엘교회),전라북도 군산시 대야면 덕봉2길 52,전라북도 군산시 대야면 보덕리559-1번지 ,
기독교,새군산교회,전라북도 군산시 대야면 대야관통로 230-6,전라북도 군산시 대야면 산월리90-5번지 ,063-451-3084
기독교,중동교회,전라북도 군산시 대야면 남흥길 34,전라북도 군산시 대야면 산월리572-1번지 ,063-451-2407
기독교,샘솟는교회,전라북도 군산시 대야면 수림로 160-7,전라북도 군산시 대야면 보덕리721-16번지 ,
기독교,큰들교회,전라북도 군산시 대야면 석화로 21-6,전라북도 군산시 대야면 지경리1-8번지 ,063-451-9125
기독교,개정중앙교회,전라북도 군산시 개정면 충량3길 15,전라북도 군산시 개정면 아동리431-2번지 ,063-453-0536
기독교,성촌교회,전라북도 군산시 개정면 아동북길 112,전라북도 군산시 개정면 아동리503-2번지 ,063-453-0363
기독교,창대교회,전라북도 군산시 개정면 동정3길 84-4,전라북도 군산시 개정면 아동리125-43번지 ,063-451-6777
기독교,운회교회,전라북도 군산시 개정면 당산1길39,전라북도 군산시 개정면 운회리181-1번지 ,063-453-0532
기독교,발산제일교회,전라북도 군산시 개정면 바르메길 170,전라북도 군산시 개정면 발산리313-8번지 ,063-451-5293
기독교,만금교회,전라북도 군산시 개정면 바르메길 91-8,전라북도 군산시 개정면 발산리35-4번지 ,063-451-2586
기독교,발산중앙교회,전라북도 군산시 개정면 신발산길 33-4,전라북도 군산시 개정면 발산리45-3번지 ,063-451-5387
기독교,발산교회,전라북도 군산시 개정면 바르메길 8-4,전라북도 군산시 개정면 발산리98-11번지 ,063-451-2221
기독교,영락교회,전라북도 군산시 개정면 아동남로 40,전라북도 군산시 개정면 아동리219-3번지 ,
기독교,군산베들레헴교회,전라북도 군산시 개정면 번영로 726-1,전라북도 군산시 개정면 발산리612-3번지 ,063-451-6525
기독교,그리심수양관(전원교회),전라북도 군산시 개정면 통사장산길 74-5,전라북도 군산시 개정면 통사리71번지 ,063-451-3528
기독교,주님의교회,전라북도 군산시 개정면 신장산길 5,전라북도 군산시 개정면 통사리169-4번지 ,063-451-6691
기독교,응답교회,전라북도 군산시 개정면 신장산길 7-8,전라북도 군산시 개정면 통사리169-32번지 ,063-451-2771
기독교,팔복행금교회,전라북도 군산시 개정면 남방산길 24,,
기독교,에스라선교교회,전라북도 군산시 개정면 원아산2길 73,전라북도 군산시 개정면 아산리16번지 ,063-451-1188
기독교,산곡교회,전라북도 군산시 성산면 수림로 336,전라북도 군산시 성산면 산곡리318-4번지 ,063-453-2344
기독교,성덕교회,전라북도 군산시 성산면 성덕길 39,전라북도 군산시 성산면 성덕리248-3번지 ,063-453-0261
기독교,수가성교회,"전라북도 군산시 신영2길 4, 2층",전라북도 군산시 신영동12-14번지 2층,
기독교,밝은교회,전라북도 군산시 성산면 고봉3길 58-15,전라북도 군산시 성산면 고봉리189-9번지 ,070-4248-9689
기독교,성산교회,전라북도 군산시 성산면 만동2길 121,전라북도 군산시 성산면 고봉리396-4번지 ,063-453-0026
기독교,성산창오교회,전라북도 군산시 성산면 창오2길 56,전라북도 군산시 성산면 창오리390번지 ,063-453-2994
기독교,성흥교회,전라북도 군산시 성산면 둔덕1길 49,전라북도 군산시 성산면 둔덕리514-3번지 ,070-8866-3391
기독교,신성성결교회,전라북도 군산시 성산면 둔덕4길 2-1,전라북도 군산시 성산면 둔덕리400-1번지 ,063-453-0849
기독교,나포교회,전라북도 군산시 나포면 혜곡길 19-3,전라북도 군산시 나포면 나포리440번지 ,
기독교,사랑교회,전라북도 군산시 나포면 서라로 680,전라북도 군산시 나포면 나포리130-5번지 ,063-451-1004
기독교,서포교회,전라북도 군산시 나포면 서왕길 6-5,전라북도 군산시 나포면 서포리431-43번지 ,063-453-1085
기독교,자양교회,전라북도 군산시 나포면 대동길 30,전라북도 군산시 나포면 주곡리281-4번지 ,063-453-1053
기독교,제일침례교회,전라북도 군산시 나포면 교동1길 5,전라북도 군산시 나포면 옥곤리505-43번지 ,063-453-1413
기독교,나포순복음교회,전라북도 군산시 나포면 교동2길 55-16,전라북도 군산시 나포면 옥곤리226-1번지 ,063-453-9993
기독교,풍성한교회,전라북도 군산시 나포면 등동1길 41,전라북도 군산시 나포면 옥곤리319-17번지 ,
기독교,나포성광교회,전라북도 군산시 나포면 서라로 560,전라북도 군산시 나포면 장상리산25-1번지 ,070-4101-7414
기독교,나포중앙교회,전라북도 군산시 나포면 등동1길 41-11,전라북도 군산시 나포면 옥곤리434-1번지 ,063-453-1178
기독교,개야도교회,전라북도 군산시 옥도면 개야도1길 49-5,전라북도 군산시 옥도면 개야도리110번지 ,
기독교,연도교회,전라북도 군산시 옥도면 연도2길 19,전라북도 군산시 옥도면 연도리71번지 ,063-462-0176
기독교,어청도교회,전라북도 군산시 옥도면 어청도길 88-7,전라북도 군산시 옥도면 어청도리산7번지 ,070-4253-9192
기독교,야미도교회,전라북도 군산시 옥도면 야미도2길 52-6,전라북도 군산시 옥도면 야미도리42번지 ,063-461-2533
기독교,신시도교회,전라북도 군산시 옥도면 신시도2길 13-5,전라북도 군산시 옥도면 신시도리42번지 ,063-466-6750
기독교,선유도교회,전라북도 군산시 옥도면 선유북길 89-4,전라북도 군산시 옥도면 선유도리255번지 ,
기독교,고군산중앙교회,전라북도 군산시 옥도면 무녀도4길 65,전라북도 군산시 옥도면 무녀도리229-3번지 ,063-465-2307
기독교,무녀2구교회,전라북도 군산시 옥도면 무녀도동길 67,전라북도 군산시 옥도면 무녀도리산16번지 ,063-466-1962
기독교,장자도교회,전라북도 군산시 옥도면 장자도1길 16-1,전라북도 군산시 옥도면 장자도리132번지 ,063-466-3840
기독교,관리도교회,전라북도 군산시 옥도면 관리도길 54-10,전라북도 군산시 옥도면 관리도리49번지 ,063-463-0333
기독교,방축도교회,전라북도 군산시 옥도면 방축도길 48,전라북도 군산시 옥도면 말도리171번지 ,063-462-1479
기독교,말도교회,전라북도 군산시 옥도면 말도길 128,전라북도 군산시 옥도면 말도리23번지 ,
기독교,명도교회,전라북도 군산시 옥도면 명도길 36-2,전라북도 군산시 옥도면 말도리77번지 ,
기독교,비안도교회,전라북도 군산시 옥도면 비안도1길 18-1,전라북도 군산시 옥도면 비안도리208번지 ,
기독교,옥봉교회,전라북도 군산시 옥서면 외성산1길 30,전라북도 군산시 옥서면 옥봉리175번지 ,063-471-5287
기독교,선연교회,전라북도 군산시 옥서면 선연길 97,전라북도 군산시 옥서면 선연리105번지 ,063-471-5523
기독교,성화교회,전라북도 군산시 옥서면 옥봉초교길 12-11,전라북도 군산시 옥서면 옥봉리74-54번지 ,063-471-3006
